,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
0,0,0,0,0,1,0
1,7,8,5,3,2,2
2,6,6,5,3,2,1
3,6,6,6,3,3,1
4,5,5,6,3,3,2
5,7,7,4,3,2,2
6,6,7,5,3,3,2
7,7,7,5,4,2,1
8,5,5,5,3,3,2
9,6,6,5,3,3,1
10,5,5,5,4,2,1
11,6,6,6,3,2,2
12,6,5,5,3,2,2
13,6,7,5,3,3,3
14,7,5,5,3,2,2
15,7,6,6,4,2,0
16,6,6,6,4,3,2
17,8,6,5,3,2,2
18,5,5,5,4,2,3
19,6,6,8,4,2,1
20,5,5,5,3,3,3
21,6,6,6,3,2,2
22,9,6,4,3,4,2
23,7,6,5,3,2,1
24,6,6,6,4,3,2
25,5,5,5,3,2,0
26,6,6,6,4,2,1
27,6,6,4,5,3,1
28,7,5,5,3,2,1
29,7,6,5,3,2,1
30,5,5,5,3,3,1
31,6,6,5,3,2,2
32,7,6,5,4,2,1
33,5,5,5,3,3,2
34,6,6,5,5,2,1
35,6,6,5,5,2,2
36,10,6,5,3,3,3
37,7,8,4,3,2,1
38,6,7,5,3,3,1
39,8,5,6,3,2,1
40,6,6,5,3,2,1
41,6,6,6,3,3,2
42,6,6,7,4,2,2
43,5,5,5,3,2,1
44,6,7,5,4,3,2
45,8,6,4,3,2,2
46,8,6,6,4,3,2
47,8,5,5,3,3,1
48,8,5,6,3,2,3
49,6,6,5,4,2,1
50,5,5,5,3,3,1
51,6,6,6,4,2,1
52,5,5,4,3,2,2
53,6,6,7,4,2,2
54,5,5,5,3,3,2
55,5,5,5,3,2,2
56,7,6,5,3,3,1
57,7,5,5,3,2,0
58,6,6,6,3,2,1
59,5,5,4,3,3,2
60,7,6,5,4,2,3
61,5,5,5,3,3,1
62,6,6,6,3,3,2
63,5,5,5,3,3,1
64,6,6,5,3,3,2
65,5,5,5,3,2,1
66,5,5,5,3,3,1
67,6,6,5,4,2,1
68,6,6,5,3,2,2
69,6,6,6,4,3,2
70,5,5,5,3,3,2
71,6,6,5,3,2,1
72,5,5,5,3,2,1
73,7,6,5,4,3,3
74,5,5,5,4,2,1
75,7,6,5,3,2,3
76,5,6,5,3,2,2
77,6,6,5,3,3,2
78,5,5,5,3,3,1
79,6,6,5,3,2,2
80,7,7,5,4,2,2
81,6,6,5,4,3,1
82,6,6,5,4,3,2
83,8,5,5,3,2,2
84,7,6,5,3,3,1
85,5,5,5,3,2,1
86,6,6,4,4,2,1
87,6,6,7,3,4,1
88,5,5,5,3,3,2
89,6,6,5,3,2,2
90,7,6,5,3,3,2
91,5,5,5,3,2,1
92,6,6,6,4,3,2
93,5,5,5,3,2,1
94,7,8,5,3,2,1
95,10,5,4,3,3,1
96,5,7,5,3,3,2
97,6,6,5,3,3,1
98,7,6,6,4,2,1
99,6,6,5,3,2,2
100,7,4,5,3,3,1
101,7,6,5,3,2,2
102,5,5,5,3,2,2
103,6,6,5,3,3,1
104,6,6,5,3,2,2
105,5,5,5,3,3,2
106,6,7,5,3,3,2
107,5,5,4,3,2,1
108,6,6,5,4,3,1
109,6,8,6,3,2,1
110,5,5,5,3,2,1
111,7,7,5,3,3,3
112,7,7,5,4,2,3
113,5,5,4,3,3,1
114,6,6,5,3,2,1
115,5,5,5,3,2,2
116,6,6,6,3,4,2
117,5,5,5,3,2,3
118,6,6,5,4,3,2
119,6,6,5,3,2,1
120,7,6,5,3,3,1
121,6,6,5,4,3,2
122,5,5,5,3,2,2
123,5,5,5,3,4,2
124,6,6,5,3,2,3
125,6,6,6,3,3,1
126,6,6,5,4,2,0
127,6,5,8,3,3,2
128,6,7,5,3,2,2
129,6,6,5,3,2,2
130,6,5,5,3,3,1
131,6,6,5,3,2,2
132,6,6,5,3,3,1
133,6,5,5,4,2,1
134,6,7,5,3,2,2
135,8,6,5,3,3,2
136,6,6,5,3,4,1
137,6,6,5,3,3,1
138,8,6,5,4,2,2
139,6,6,5,3,4,2
140,5,5,5,3,2,3
141,6,6,6,3,3,1
142,5,5,6,3,3,1
143,5,5,7,3,2,1
144,8,6,5,3,2,2
145,6,5,5,3,3,1
146,6,6,5,4,2,2
147,5,5,5,3,3,2
148,6,6,5,3,4,2
149,5,5,5,4,3,1
150,6,6,5,3,2,3
151,5,5,5,3,2,1
152,6,6,5,3,3,1
153,6,6,5,3,3,1
154,7,5,5,3,2,2
155,6,8,5,4,2,2
156,6,5,6,3,3,1
157,6,6,5,3,2,2
158,5,5,5,4,2,1
159,6,6,5,3,2,2
160,5,5,5,3,3,2
161,6,6,5,3,2,2
162,5,5,5,4,2,1
163,6,6,5,3,3,3
164,7,6,4,3,2,1
165,5,5,7,3,3,3
166,6,6,6,4,3,1
167,5,5,5,3,3,2
168,6,6,5,4,2,1
169,5,5,5,3,4,2
170,7,6,5,3,4,2
171,6,6,6,3,2,1
172,5,5,4,3,3,3
173,6,6,5,3,2,1
174,6,6,5,3,3,3
175,5,5,5,4,2,1
176,7,6,5,3,3,1
177,7,6,5,3,3,1
178,6,5,5,3,3,2
179,7,6,5,3,2,1
180,6,6,5,3,3,2
181,6,6,6,4,2,1
182,7,6,7,3,3,2
183,8,6,5,3,3,1
184,6,6,5,4,2,3
185,9,5,5,3,2,1
186,6,6,5,3,2,3
187,6,7,5,4,3,1
