,,,,,,s1,s2,s3,s4,s5,s6
0,0,0,0,0,0,0.4143406578,0.3873120801,0.3214893386,0.1584921949,0.1106554278,0.07339722121
1,0,0,0,0,0,0.1588148305,0.314279486,0.3360402163,0.1178024779,0.1037125056,0.04884007528
0,1,0,0,0,0,0.3937094569,0.1415779945,0.2154877273,0.165702097,0.07955704993,0.03681239241
0,0,1,0,0,0,0.3747695264,0.369828839,0.01141217774,0.144761509,0.08312721056,0.04592549998
0,0,0,1,0,0,0.4259105324,0.4135144904,0.3337914271,0,0.1017616937,0.05665666027
0,0,0,0,1,0,0.4179564623,0.4082909059,0.359644504,0.123026463,0,0.05908978355
0,0,0,0,0,1,0.4101117297,0.4166250243,0.3937122682,0.144462803,0.1173892722,0.00142737762
1,1,0,0,0,0,0.03439786447,0.007323004437,0.300653102,0.1533030093,0.09809689461,0.06392574959
1,1,1,0,0,0,0.009920322308,0.01061230117,0.006487072716,0.1466620238,0.09917222016,0.048998461
1,0,1,0,0,0,0.1608060437,0.3551022025,0,0.14908156,0.09697175391,0.0362482168
0,1,1,0,0,0,0.3400797558,0.09874093804,0,0.1561737535,0.06051148286,0.03469500178
