0,features,probabilities
1,"(0, 0, 0, 0, 0, 0)","(0.41451261281383117, 0.38744981938726875, 0.32176265183870145, 0.1585580777911579, 0.11151728158198214, 0.07354674107514836)"
2,"(0, 0, 0, 0, 0, 1)","(0.41575818885027055, 0.4188498216717366, 0.39406866052990425, 0.14504942512537672, 0.11832650551678776, 0.0015724637490492255)"
3,"(0, 0, 0, 0, 1, 0)","(0.41718052996467536, 0.4072347039257562, 0.35629656717746544, 0.12429366640649492, 0.0, 0.058038680273995794)"
4,"(0, 0, 0, 1, 0, 0)","(0.4269336964056102, 0.414569457859541, 0.3325932041691245, 0.0, 0.10077063841828317, 0.056445596622635257)"
5,"(0, 0, 1, 0, 0, 0)","(0.3741240930187319, 0.3682028112933423, 0.0114755584775766, 0.14534937765600553, 0.08323282997304177, 0.0460263647150174)"
6,"(0, 1, 0, 0, 0, 0)","(0.3947182630777772, 0.14263780633454343, 0.2187050231603216, 0.16493288389559818, 0.07986661905460973, 0.0357075490341324)"
7,"(0, 1, 1, 0, 0, 0)","(0.3426967866642098, 0.10173468945171718, 0.0, 0.16117547701338975, 0.057557244831519895, 0.03381334532115556)"
8,"(1, 0, 0, 0, 0, 0)","(0.1592036196581487, 0.3082433829287767, 0.33937862301787197, 0.11952396287456876, 0.10422374350894201, 0.04753776650232923)"
9,"(1, 0, 1, 0, 0, 0)","(0.1575711397951247, 0.351634564192386, 0.0, 0.14519524027263045, 0.09862588085005934, 0.03703665268697442)"
10,"(1, 1, 0, 0, 0, 0)","(0.03433561548116267, 0.007384666796637022, 0.2996367760654454, 0.15240053537991963, 0.09746193552057088, 0.06370149520146215)"
11,"(1, 1, 1, 0, 0, 0)","(0.009968680897968415, 0.010377168079249228, 0.006213351317165324, 0.1467012086814977, 0.0989086737873323, 0.048697637160257656)"
