,,,,,,,,,,,,s1,s2,s3,s4,s5,s6
0,0,0,0,0,0,0,0,0,0,0,0,0.40964661715937534,0.38580655044800916,0.32736408928279886,0.14765374969600287,0.10630739947499392,0.06715808034260581
0,0,0,0,0,0,0,0,0,0,0,1,0.4240155224538821,0.4204964192369936,0.3512226389271855,0.14889157858785462,0.0837166755157909,0.014398312654378447
0,0,0,0,0,0,0,0,0,0,1,0,0.3995709345848963,0.4012315645345231,0.3116908815596563,0.12411663142324264,0.0,0.06864811124161939
0,0,0,0,0,0,0,0,0,0,1,1,0.39761677896487785,0.39528722934465593,0.13214183068903124,0.07726280768178805,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0.4311264463102642,0.4154333645719688,0.33833259186792136,0.0,0.12398641289509436,0.053288463755377664
0,0,0,0,0,0,0,0,0,1,0,1,0.4302326340906451,0.39090161755627856,0.2669823007030351,0.0,0.039640847014428916,0.0
0,0,0,0,0,0,0,0,0,1,1,0,0.2780394080880641,0.2845481667591467,0.27786089970352956,0.0,0.0,0.038883567276091234
0,0,0,0,0,0,0,0,0,1,1,1,0.29903124014027616,0.29832121304000514,0.597189552239773,0.0,0.0,0.003833893414238948
0,0,0,0,0,0,0,0,1,0,0,0,0.31657080501485263,0.3110315528288991,0.002786257891212384,0.16079571475467613,0.08987666105803446,0.05463418620059308
0,0,0,0,0,0,0,0,1,0,0,1,0.20659194389274685,0.21221263551860517,0.0,0.20480626376938768,0.16757294466411798,0.010888930366454578
0,0,0,0,0,0,0,0,1,0,1,0,0.29426020972918626,0.32302290961632496,0.0,0.13339198198974966,0.0,0.05741166671366156
0,0,0,0,0,0,0,0,1,0,1,1,0.2705451783410621,0.23780165855868104,0.0,0.17931303860763056,0.0,0.0
0,0,0,0,0,0,0,0,1,1,0,0,0.2489236009927863,0.2445907116903931,0.014638584289638108,0.0,0.07142975078885133,0.024657799793428022
0,0,0,0,0,0,0,0,1,1,0,1,0.1636632825408897,0.1636632825408897,0.0,0.0,0.19824451906308255,0.0
0,0,0,0,0,0,0,0,1,1,1,0,0.060757358568504075,0.1274937299542563,0.0,0.0,0.0,0.0
