,,,,,,s1,s2,s3,s4,s5,s6
0,0,0,0,0,0,0.4473199410592698,0.42251774623108546,0.34872677101042115,0.15237624819263218,0.09000499444400792,0.08699422884986291
1,0,0,0,0,0,0.19721928136137606,0.41993925184587383,0.3545709599273513,0.08664944157562827,0.09343444179398164,0.06462876054892804
0,1,0,0,0,0,0.38257829877412197,0.1356267211496003,0.2504549446574957,0.12274413396957161,0.08990344195191112,0.09786861148789296
0,0,1,0,0,0,0.36686210430977545,0.3614367582198637,0.005143466523754594,0.11743156521301129,0.10316203619623891,0.0344808341332577
0,0,0,1,0,0,0.3920760266750319,0.3730814030342105,0.29286660558383915,0.0,0.1293641888528259,0.0652587073468954
0,0,0,0,1,0,0.42682901713355265,0.4155789441579021,0.33799871229598927,0.14299432713194668,0.0,0.042268578653383244
0,0,0,0,0,1,0.4602623239037005,0.42357062020066943,0.4036272916421266,0.15444140251989327,0.11223326891781102,0.0
1,1,0,0,0,0,0.02887334294370804,0.007192571255270861,0.2692083774072248,0.15401055531291352,0.09941591175127798,0.08065627964922104
1,1,1,0,0,0,0.009727560991707405,0.013353046433387764,0.00657039043766581,0.1517127716870282,0.10022896858290026,0.04302659566571775
1,0,1,0,0,0,0.2555725780619509,0.4430322855396939,0.0,0.13858576965262417,0.07148337288566138,0.023795009347622208
0,1,1,0,0,0,0.3790138026654381,0.17733768592234092,0.0,0.10307049297303035,0.12126364605822658,0.0
