,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
0,0,0,3,1,0,4
1,1,1,4,2,1,5
2,2,0,5,3,2,6
3,0,1,0,4,3,7
4,1,2,1,5,4,8
5,2,0,2,6,5,9
6,3,1,3,7,6,10
7,4,2,4,8,7,11
8,5,3,5,9,8,12
9,6,0,6,0,9,13
10,0,0,0,1,10,0
11,1,1,1,2,11,0
12,2,2,2,3,12,1
13,3,3,3,4,13,2
14,0,0,4,5,0,3
15,1,1,5,6,1,4
16,2,2,0,7,2,5
17,3,3,1,8,3,6
18,4,4,2,9,4,7
19,5,5,3,10,5,8
20,0,6,4,11,6,9
21,1,7,5,0,7,10
22,2,8,6,1,8,11
23,0,0,7,2,9,12
24,1,1,0,3,10,13
25,2,2,1,4,11,14
26,3,3,2,5,12,15
27,0,4,3,6,0,16
28,1,0,4,7,1,17
29,2,1,5,8,2,18
30,3,2,6,9,3,19
31,4,3,0,0,4,20
32,0,0,1,1,5,21
33,1,1,2,2,6,22
34,2,2,3,3,7,23
35,3,0,4,4,8,0
36,4,1,5,5,9,1
37,5,2,0,6,10,2
38,0,3,1,7,11,3
39,1,4,2,8,12,4
40,2,5,3,9,0,5
41,3,0,4,10,1,6
42,4,1,5,11,2,7
43,0,2,6,12,3,8
44,1,3,0,0,4,9
45,2,4,1,1,5,10
46,3,5,2,2,6,11
47,0,0,3,3,7,12
48,1,1,4,4,8,13
49,2,2,5,5,9,14
50,3,3,6,6,10,15
51,4,4,0,7,11,16
52,5,5,1,8,12,17
53,0,0,2,9,13,18
54,1,1,3,10,14,19
55,2,2,4,0,0,20
56,3,3,5,1,1,21
57,4,4,0,2,2,22
58,5,5,1,3,3,23
59,0,0,2,4,4,24
60,1,1,3,5,5,25
61,2,2,4,6,6,26
62,3,3,5,7,7,27
63,4,4,6,8,8,28
64,5,5,7,9,9,29
65,0,0,0,0,10,30
66,1,1,1,1,11,31
