,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
0,0,1,0,0,1,0,1,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0
2,1,2,1,1,0,2,0,0,0,0,0,0
3,1,1,0,0,1,0,0,0,1,0,0,0
4,1,0,0,0,0,0,0,0,0,1,0,0
5,1,1,1,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,0,0,0,0,0,0,0
7,1,1,1,1,0,0,0,0,0,0,0,0
8,0,1,1,0,0,1,1,0,0,0,0,0
9,0,1,0,0,1,0,0,0,0,0,0,0
10,1,0,1,1,0,0,0,0,0,0,0,0
11,1,1,0,0,0,0,0,0,1,0,0,0
12,1,1,0,1,0,0,0,0,0,0,1,0
13,1,1,1,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,1,1,0,0,0,0,0,0,1,0
16,1,1,1,0,0,0,0,0,0,0,0,0
17,0,0,0,1,0,0,1,1,0,0,0,0
18,0,0,1,0,0,1,0,0,0,0,0,0
19,1,1,1,0,1,0,0,0,0,0,0,0
20,1,1,0,1,0,0,0,0,0,0,0,0
21,0,0,1,0,0,0,1,1,0,0,0,0
22,0,0,2,1,1,0,0,0,0,0,0,0
23,1,1,1,0,0,0,0,0,0,0,0,0
24,1,1,0,1,0,0,0,0,1,0,0,0
25,0,0,0,0,0,0,1,1,0,0,1,0
26,0,0,1,0,0,1,0,0,0,0,0,0
27,1,1,1,1,0,0,0,0,0,0,0,0
28,1,1,0,0,0,0,0,0,0,0,0,0
29,0,0,1,1,1,0,1,1,0,0,0,0
30,0,0,1,0,0,1,0,0,0,0,1,0
31,1,1,0,0,0,0,0,0,0,0,0,0
32,0,0,1,1,1,1,1,1,0,0,0,0
33,0,0,1,0,0,0,0,0,0,0,0,0
34,1,1,0,1,0,0,0,0,0,0,0,0
35,1,2,1,0,0,1,0,0,0,0,1,0
36,1,1,0,0,0,0,0,0,0,0,0,0
37,1,0,1,1,0,0,0,0,0,0,0,0
38,1,1,1,0,0,0,0,0,0,0,0,0
39,1,1,0,1,1,0,0,0,0,0,0,0
40,0,0,1,0,0,1,0,0,0,0,0,0
41,1,1,0,0,0,0,0,0,0,0,0,0
42,1,1,1,1,1,0,0,0,0,0,0,0
43,1,0,1,0,0,0,0,1,0,0,0,0
44,1,1,0,0,0,0,0,0,0,1,0,0
45,0,1,1,0,1,1,0,0,0,0,0,0
46,1,1,0,1,0,0,0,1,1,0,0,0
47,1,1,0,0,0,0,0,0,0,0,0,0
48,1,1,1,1,1,0,0,0,0,0,0,1
49,0,0,0,0,0,0,1,1,0,0,0,0
50,1,0,1,0,0,0,0,0,0,1,0,0
51,1,1,1,0,0,0,0,0,0,0,1,0
52,1,1,0,0,0,0,0,0,0,0,0,0
53,0,0,1,1,0,0,1,1,0,0,0,0
54,0,0,0,0,0,0,0,0,1,0,1,0
55,1,1,0,1,0,0,0,0,0,0,0,0
56,1,1,1,0,0,1,0,0,0,0,0,0
57,1,1,1,0,0,0,0,0,0,0,1,0
58,0,0,0,1,0,0,0,0,0,0,0,0
59,1,1,1,0,0,1,0,0,0,0,1,0
60,1,1,1,1,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0
62,1,1,1,0,0,0,0,0,0,1,0,0
63,1,1,0,0,1,0,0,0,1,0,0,0
64,0,0,0,0,0,0,1,1,0,0,0,1
65,0,0,1,1,1,0,0,0,0,0,0,0
66,1,1,1,0,0,0,0,0,0,0,0,0
67,1,1,0,0,0,0,0,0,0,1,0,0
68,0,0,1,0,0,0,1,1,0,0,1,0
69,0,0,0,1,0,0,0,0,1,0,0,0
70,1,1,0,0,0,0,0,0,0,0,0,0
71,1,1,1,0,0,0,0,0,0,1,0,0
72,0,0,0,0,1,0,1,1,1,0,0,1
73,0,0,0,0,0,0,0,0,0,0,0,0
74,1,1,1,1,0,0,0,0,0,0,0,0
75,1,1,1,0,1,0,0,0,0,0,0,0
76,0,0,0,1,0,0,0,0,0,0,0,0
77,1,1,1,0,0,0,0,0,0,0,0,0
78,1,1,1,0,1,1,0,0,0,0,0,0
79,0,0,0,1,0,0,1,1,1,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0
81,1,1,1,1,0,0,0,0,0,0,1,0
82,1,1,1,0,0,1,0,0,0,0,0,0
83,0,0,0,1,0,0,0,0,0,0,0,0
84,1,1,1,0,0,0,0,0,0,0,0,0
85,1,1,1,1,1,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,0,0,0,0,0,0,1,0,0
88,1,1,1,0,0,0,0,0,0,0,0,0
89,1,1,0,0,1,1,0,0,1,0,0,1
90,0,0,0,1,0,0,1,1,0,0,0,0
91,0,0,1,0,0,0,0,0,0,0,0,0
92,1,1,0,0,1,0,0,0,0,0,0,1
93,1,0,1,1,0,0,1,1,0,0,0,0
94,0,0,0,0,0,0,0,1,1,0,0,0
95,1,1,0,1,0,0,0,0,0,0,0,0
96,1,1,1,0,1,0,0,0,0,0,0,0
97,1,1,0,0,0,0,0,0,1,1,0,0
98,0,0,0,0,0,1,1,1,0,0,0,0
99,0,0,1,0,1,1,0,0,0,0,0,0
100,1,1,0,1,0,0,0,0,0,0,0,0
101,1,1,1,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,1,0,1,0,0,0
103,1,1,0,1,1,1,0,0,0,0,0,0
104,1,0,1,0,0,0,0,1,0,0,0,0
105,1,0,1,1,0,0,0,0,0,0,0,0
106,0,1,0,0,1,0,1,0,0,0,0,0
107,0,0,1,0,0,1,1,1,0,1,0,0
108,1,0,0,0,0,0,0,0,1,0,0,0
109,1,1,1,0,1,0,0,0,0,0,0,0
110,1,1,1,1,0,0,0,0,1,0,0,0
111,0,0,0,0,0,0,1,1,0,0,0,0
112,0,0,1,1,0,0,0,0,0,0,0,0
113,1,1,0,0,1,0,0,0,1,0,0,0
