,s0,s1,s2,s3,s4,s5,q0,q1,q2,q3,q4,q5
0,0,1,0,0,1,0,1,0,1,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,0,0,0,0,0,0
3,1,1,1,0,0,0,0,0,0,0,0,0
4,1,1,1,0,0,0,0,0,0,0,0,0
5,1,1,1,0,0,0,0,1,0,0,0,0
6,1,2,1,0,0,0,0,0,0,0,0,0
7,1,1,1,0,0,0,0,0,0,0,0,0
8,1,1,1,0,0,0,0,0,0,0,0,0
9,1,1,1,0,0,0,0,0,0,0,0,0
10,1,1,1,0,0,0,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0,0,0
14,0,1,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,1,0,0,0,0
18,0,1,0,0,0,0,0,0,0,0,0,0
19,0,1,0,0,0,0,0,0,0,1,0,0
20,0,1,0,1,0,0,1,1,1,0,0,1
21,1,2,1,1,0,1,0,0,0,0,0,0
22,1,2,1,1,0,1,0,0,0,0,0,0
23,1,2,1,1,0,1,0,0,0,0,0,0
24,1,2,1,1,0,1,0,0,0,0,0,0
25,1,2,1,1,0,1,0,0,0,0,0,1
26,1,2,1,1,0,2,0,0,0,0,0,0
27,1,2,1,1,0,2,0,0,0,0,0,0
28,1,1,1,1,0,2,0,0,0,0,0,0
29,1,1,1,1,0,2,0,0,0,0,0,0
30,1,1,1,0,0,2,0,0,0,0,0,0
31,0,0,0,0,0,1,0,0,0,0,0,0
32,0,0,0,0,0,1,0,0,0,0,1,0
33,0,0,0,0,1,1,0,0,0,0,0,0
34,0,0,0,0,1,1,1,1,0,0,0,0
35,1,1,0,0,1,1,0,0,0,0,0,0
36,1,1,0,0,1,0,0,0,0,0,0,0
37,1,1,0,0,1,0,0,0,0,0,0,0
38,1,1,0,0,1,0,0,0,0,0,0,0
39,1,1,0,0,1,0,0,0,0,0,0,0
40,1,1,0,0,1,0,0,0,1,0,0,0
41,1,1,1,0,1,0,0,0,0,0,0,0
42,1,1,1,0,1,0,0,0,0,0,0,0
43,1,1,1,0,0,0,0,0,0,0,0,0
44,1,1,1,0,0,0,0,0,0,0,0,0
45,0,0,1,0,0,0,0,0,0,0,0,0
46,0,0,1,0,0,0,0,0,0,0,0,0
47,0,0,1,0,0,0,0,0,0,0,0,0
48,0,0,1,0,0,0,0,0,0,0,0,0
49,0,0,1,0,0,0,0,0,0,0,0,0
50,0,0,1,0,0,0,1,0,0,0,0,0
51,1,0,0,0,0,0,0,0,0,0,0,0
52,1,0,0,0,0,0,0,0,0,0,0,0
53,1,0,0,0,0,0,0,0,0,0,0,0
54,1,0,0,0,0,0,0,0,0,1,0,0
55,1,0,0,1,0,0,0,0,0,0,0,0
56,1,0,0,1,0,0,0,0,0,0,0,0
