,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),0
0,1,0,1,0,0,0,0
1,1,1,1,1,0,0,0
2,1,1,0,0,0,0,0
3,1,1,1,1,0,0,0
4,1,0,1,0,0,0,0
5,1,0,1,0,1,0,0
6,1,1,1,0,1,0,1
7,1,1,1,0,0,0,0
8,0,0,1,0,0,0,1
9,0,0,1,0,0,0,1
10,1,1,0,0,0,0,1
11,1,1,1,1,0,0,1
12,1,1,1,1,0,0,1
13,0,0,0,0,0,1,1
14,1,1,1,0,0,1,1
15,1,1,1,0,1,0,0
16,1,1,1,1,0,1,0
17,1,1,1,0,1,0,1
18,1,1,0,0,0,0,0
19,1,0,1,1,0,1,0
20,1,1,0,0,0,0,1
21,1,1,0,0,1,0,1
22,1,0,0,0,0,0,1
23,0,0,0,0,0,0,1
24,0,0,1,0,1,0,1
25,0,0,1,0,0,0,1
26,0,0,0,1,0,1,0
27,2,1,0,0,1,1,0
28,1,1,1,1,1,0,0
29,1,1,0,0,0,0,1
30,1,1,1,0,0,0,0
31,0,0,1,0,1,1,0
32,1,1,1,1,0,0,1
33,0,0,1,1,0,0,0
34,1,1,0,1,0,0,0
35,0,0,0,0,1,1,1
36,1,0,1,0,0,0,0
37,0,0,1,1,0,0,1
38,1,1,1,0,0,0,0
39,1,1,0,0,0,0,1
40,0,0,0,0,0,0,1
41,1,0,0,0,1,0,1
42,0,0,1,0,0,0,1
43,0,0,0,0,0,0,0
44,0,0,1,0,0,0,0
45,0,0,0,0,1,0,1
46,1,1,1,0,0,0,1
47,1,1,0,1,0,0,1
48,0,0,0,1,0,1,1
49,1,1,1,1,1,0,0
50,1,1,1,0,0,0,0
51,0,0,0,1,0,0,0
52,0,0,1,1,1,0,1
53,1,0,1,0,1,1,0
54,0,0,1,0,0,1,1
55,1,1,1,0,0,0,1
56,0,0,1,1,0,1,1
57,0,1,0,1,0,1,1
58,0,0,0,0,1,1,0
59,1,1,1,0,0,1,0
60,1,1,1,0,1,0,0
61,1,1,1,0,0,1,1
62,1,0,0,0,1,0,1
63,1,1,1,0,1,0,1
64,1,0,1,0,0,0,1
65,1,1,0,1,0,0,1
66,1,0,1,0,0,0,1
67,1,0,1,1,0,1,1
68,0,0,0,0,1,0,1
69,1,1,0,0,0,0,1
70,1,1,1,0,0,0,0
71,1,1,1,0,1,0,0
72,0,0,1,1,0,0,0
73,1,1,1,0,0,0,1
74,1,1,0,0,1,0,1
75,0,0,0,0,0,1,0
76,1,1,0,1,0,0,0
77,1,1,1,1,0,0,0
78,0,0,1,0,0,0,1
79,0,1,0,0,1,0,1
80,0,0,0,1,0,0,1
81,0,1,0,1,0,1,0
82,1,1,1,0,1,0,1
83,0,0,0,0,1,0,0
84,0,0,1,0,0,0,0
85,1,1,1,0,0,1,0
86,0,0,0,0,0,1,1
87,0,1,0,1,0,1,0
88,0,1,0,0,0,0,0
89,0,0,1,0,0,1,1
90,0,0,0,0,1,0,0
91,0,0,1,1,0,0,0
92,0,1,1,0,0,0,0
