,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),0
0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1
2,0,0,0,0,0,0,1
3,0,0,1,1,1,0,0
4,1,1,1,0,0,0,0
5,1,1,1,1,1,0,0
6,0,0,0,0,0,0,0
7,1,1,0,0,0,1,0
8,0,0,1,0,0,1,1
9,1,0,0,0,1,1,1
10,2,1,1,1,1,0,0
11,0,0,1,0,0,1,1
12,0,0,0,1,0,0,1
13,1,1,1,1,0,0,0
14,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0
16,1,1,0,1,0,0,0
17,1,1,1,0,0,0,0
18,1,1,0,0,0,0,0
19,1,1,1,1,1,0,0
20,1,1,0,0,0,0,1
21,0,0,0,0,0,0,0
22,1,1,1,0,1,0,1
23,2,1,1,0,0,0,1
24,1,0,1,0,0,2,0
25,1,1,1,0,0,0,0
26,1,1,1,0,0,0,1
27,1,1,0,0,1,0,0
28,0,0,1,1,0,0,1
29,1,1,1,0,0,0,0
30,1,1,1,0,0,0,0
31,0,0,0,1,0,0,1
32,0,0,0,0,0,0,1
33,1,1,1,0,0,0,1
34,1,1,1,1,0,1,0
35,1,1,0,0,0,0,0
36,1,1,1,1,0,0,1
37,1,1,0,1,1,0,1
38,0,0,1,0,0,0,1
39,0,0,1,1,0,0,1
40,1,1,1,0,1,1,0
41,1,1,0,1,1,0,0
42,0,0,0,0,1,0,1
43,1,1,1,0,0,0,1
44,0,0,0,0,0,0,0
45,1,1,1,1,0,1,0
46,1,0,1,1,0,0,1
47,1,0,1,0,0,0,0
48,0,0,0,0,0,0,1
49,1,1,0,0,0,1,0
50,1,1,0,1,0,0,0
51,1,1,0,0,0,0,0
52,1,1,0,0,1,0,1
53,1,1,1,1,0,0,0
54,1,1,1,1,0,0,0
55,1,1,1,1,1,1,0
56,0,1,0,0,0,0,0
57,0,1,0,0,1,1,1
58,0,0,1,0,1,0,1
59,1,1,1,0,0,0,1
60,1,1,1,0,0,1,0
61,1,1,0,0,0,0,0
62,1,1,1,0,0,0,1
63,1,1,1,0,0,0,0
64,1,1,1,0,0,0,0
65,1,1,0,0,1,0,0
66,1,1,0,0,1,0,1
67,1,1,0,0,0,0,0
68,1,1,0,0,1,0,1
69,1,0,1,1,0,0,1
70,1,1,1,1,0,0,1
71,1,1,1,1,0,0,0
72,1,1,1,1,0,0,0
73,0,0,0,1,1,0,1
74,1,1,0,0,1,0,0
75,1,1,0,0,0,0,0
76,0,0,0,1,0,0,0
77,0,0,0,1,0,0,1
78,1,1,0,1,1,0,0
79,1,1,0,0,1,0,1
80,1,1,0,1,0,0,0
81,1,0,0,1,0,1,1
82,0,1,0,0,0,0,0
83,1,2,1,0,1,1,1
84,1,0,1,0,0,0,1
85,1,1,0,0,0,0,1
86,0,0,0,0,1,0,1
87,0,0,1,0,1,0,0
88,1,1,1,0,1,0,0
89,1,1,1,1,0,0,0
90,0,0,0,0,0,0,1
91,1,1,0,1,0,0,0
92,0,1,1,1,1,0,1
93,0,0,0,0,0,0,0
94,1,0,0,0,0,0,1
95,1,0,1,0,0,0,1
96,1,0,1,0,1,0,1
97,0,0,0,0,1,0,1
98,1,1,0,0,0,0,1
99,1,1,1,1,0,1,0
100,1,1,0,0,0,0,1
101,0,0,0,1,0,0,0
102,0,0,0,0,1,0,1
103,1,1,1,0,0,0,0
104,1,1,0,1,0,0,1
105,1,1,0,1,0,0,0
106,1,1,1,0,0,1,1
107,0,0,0,0,0,0,1
108,1,1,0,1,0,1,0
