,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0
2,1,1,0,0,1,0,0,0,1,0,0,0
3,1,1,1,0,0,1,0,0,0,0,0,0
4,0,0,1,1,0,1,0,0,0,0,0,0
5,1,1,1,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0,0
7,1,1,0,0,1,0,0,0,0,0,0,0
8,0,0,0,1,0,0,0,0,0,0,0,0
9,1,1,0,0,1,0,0,0,0,0,0,0
10,1,1,0,0,0,1,0,0,0,1,0,0
11,1,1,0,1,0,0,0,0,0,0,0,0
12,1,1,0,0,0,0,0,0,1,1,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1,0,0,0,0,0,0,0,0,0,0
15,1,1,1,0,0,0,0,0,0,0,0,0
16,0,0,1,0,0,0,0,0,0,1,1,0
17,0,0,0,0,0,0,0,0,0,0,0,0
18,1,1,0,0,1,0,0,0,0,0,0,0
19,0,0,0,0,0,0,1,1,1,0,0,0
20,1,1,0,0,1,0,0,0,0,0,0,0
21,0,1,1,0,0,1,1,1,0,1,0,0
22,1,1,0,0,0,0,1,0,0,0,0,0
23,2,1,1,0,0,0,0,0,0,1,0,0
24,1,1,1,1,1,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,1,1,0,1,0,0,0,0,1,0,0,0
27,0,0,0,0,0,1,1,1,1,1,0,0
28,1,1,0,0,0,0,0,0,0,0,0,0
29,0,0,1,0,0,1,1,1,0,0,0,0
30,1,0,1,0,0,0,0,0,0,0,0,0
31,1,1,1,0,0,0,0,0,0,0,0,0
32,1,2,1,0,0,0,0,0,0,0,0,0
33,1,1,1,0,1,0,0,0,0,0,0,0
34,1,1,1,0,0,0,0,1,0,0,0,0
35,1,0,1,0,0,0,0,0,0,0,0,0
36,1,1,1,0,0,0,0,0,0,0,0,0
37,0,0,0,1,0,0,0,0,0,0,0,0
38,1,1,0,1,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,1,0,0
40,1,2,0,0,1,0,0,0,1,0,0,0
41,1,1,1,0,0,0,0,0,0,0,0,0
42,1,1,1,1,0,0,0,0,0,0,0,0
43,1,1,1,1,0,1,0,0,0,0,0,0
44,0,0,1,0,0,0,1,1,0,0,0,0
45,0,0,0,1,1,1,0,0,0,0,0,0
46,1,1,0,0,0,0,0,0,0,0,0,0
47,1,1,0,0,0,0,0,0,0,0,0,0
48,1,1,1,0,0,0,0,0,0,0,0,0
49,1,1,1,0,0,0,0,1,0,0,0,0
50,0,0,1,0,0,1,1,1,0,0,0,0
51,1,1,1,0,0,0,0,0,0,0,0,0
52,0,1,0,1,0,0,1,0,1,0,1,0
53,1,1,0,1,0,0,1,0,1,0,0,0
54,1,0,0,1,0,0,1,1,1,0,0,0
55,1,1,1,0,0,0,0,0,0,0,0,1
56,1,2,0,0,1,0,0,0,1,0,0,1
57,1,1,1,0,0,0,0,0,0,0,0,0
58,1,1,1,0,1,0,0,0,0,1,0,0
59,1,1,1,0,1,0,0,0,0,0,0,0
60,1,1,1,1,0,0,0,0,0,0,0,0
61,1,1,0,1,0,1,0,0,0,0,0,0
62,0,0,0,1,1,0,1,0,0,0,0,0
63,1,1,1,0,0,0,0,0,0,0,1,0
64,1,1,1,0,1,0,0,0,0,0,0,0
65,1,1,1,1,0,0,0,0,0,0,0,0
66,0,1,1,1,1,0,1,0,0,0,0,0
67,0,0,1,0,0,0,0,0,0,0,0,0
68,0,1,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,1,1,1,0,0,0
70,0,0,0,0,0,0,1,1,1,1,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,1
73,0,0,1,0,1,0,1,1,0,1,0,0
74,1,1,0,0,0,0,0,0,1,1,0,0
75,0,0,1,0,1,0,0,0,0,0,0,0
76,1,1,0,0,0,0,1,0,1,0,1,0
77,0,0,0,1,0,0,1,1,0,0,1,0
78,0,1,0,0,0,0,0,0,0,0,0,1
79,0,0,0,0,0,0,1,1,1,0,1,0
80,1,2,0,1,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,1,1,1,0,0,0
82,1,1,1,0,0,0,0,0,0,0,0,0
83,1,1,0,1,0,1,0,0,0,0,1,0
84,0,0,0,1,0,0,0,0,0,0,0,0
85,0,0,0,0,1,0,0,0,0,0,0,1
86,1,1,1,0,1,0,0,0,0,0,0,0
87,0,0,0,0,0,1,1,1,0,0,1,0
88,0,0,0,1,0,0,0,0,0,0,0,0
89,1,1,1,0,0,0,0,0,0,0,0,0
90,1,1,1,0,0,0,0,0,0,0,0,0
91,0,0,0,0,1,0,0,0,0,0,0,0
92,1,1,1,0,0,0,0,0,0,0,0,1
93,0,0,0,0,0,0,0,0,0,0,0,0
94,1,1,1,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,1,1,0,1,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,1,0,1,1,1,1,0,0,0
98,1,1,0,1,0,0,0,1,1,0,0,1
99,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,1,0,1,1,0,0,0,0
101,1,1,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,1,1,0,0,0,0
103,1,1,1,1,0,0,0,0,0,0,0,0
104,1,1,0,1,1,0,0,0,1,0,0,0
105,0,1,0,0,0,0,0,0,0,0,0,0
106,0,0,1,0,1,1,0,0,0,0,0,0
107,0,0,0,0,0,0,1,1,0,0,0,0
108,0,0,1,1,0,1,0,0,0,0,0,0
109,1,1,0,0,1,1,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,1,0,0
111,0,0,0,1,0,0,0,0,0,0,0,0
112,0,0,0,0,0,1,0,0,0,0,0,0
113,1,1,1,1,0,1,0,0,0,0,0,0
114,0,0,1,0,0,1,1,1,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,1,0,0,1,1,1,0,0,0
117,1,2,0,0,1,1,0,0,0,0,0,0
118,0,1,0,0,0,0,0,0,0,1,0,0
119,1,1,1,1,1,0,0,0,0,0,0,0
120,1,1,1,1,1,0,0,0,0,0,0,0
121,0,0,0,0,1,0,0,0,0,0,0,0
122,1,0,1,0,0,0,0,1,0,1,0,0
123,0,0,0,0,1,0,0,0,0,0,0,0
124,0,0,0,0,1,0,0,0,0,0,0,0
125,0,0,1,0,1,0,1,1,0,0,0,0
126,1,1,1,0,1,0,0,0,0,0,0,1
127,1,1,1,0,0,0,0,0,0,0,1,0
128,1,1,0,0,0,0,0,0,0,0,1,0
129,1,1,1,0,0,0,0,0,0,0,0,0
130,1,1,0,0,1,0,0,0,1,1,0,0
131,0,0,1,0,0,0,0,0,0,0,1,0
132,0,0,0,0,0,0,0,0,0,1,0,0
133,1,1,0,0,0,0,0,0,1,0,0,0
134,0,0,1,0,1,0,1,1,0,0,0,0
135,2,1,1,0,1,0,0,0,0,1,0,0
136,0,0,1,0,0,0,0,0,0,0,0,0
137,1,1,0,0,0,0,0,0,0,0,0,0
138,1,1,0,1,0,0,0,0,0,0,0,0
139,1,1,1,0,0,1,0,0,0,1,0,0
140,1,1,0,1,0,1,1,0,1,0,0,0
141,1,1,1,0,0,1,0,0,0,0,0,0
142,1,1,0,1,0,0,0,0,1,0,0,0
143,1,1,0,0,0,1,0,0,0,0,0,0
144,0,0,1,0,1,0,0,0,0,0,0,0
145,1,1,1,1,1,0,0,0,0,0,0,0
146,1,1,0,0,0,1,1,0,1,0,0,0
147,0,0,1,0,1,0,0,0,0,0,0,1
148,1,1,0,0,0,0,0,0,1,1,0,0
149,1,1,0,0,0,0,0,0,1,0,1,0
150,0,1,1,1,0,0,1,0,0,0,0,0
151,1,1,1,0,1,0,0,0,0,0,0,0
152,0,0,0,0,1,0,0,0,0,0,0,0
153,0,0,1,1,0,0,0,0,0,0,0,0
154,1,1,0,0,1,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0
156,1,1,0,1,1,0,0,0,0,0,0,0
157,0,0,1,0,0,0,1,1,0,0,0,0
158,0,1,1,0,0,1,0,0,0,0,0,0
159,1,1,1,0,0,0,0,0,0,0,0,0
160,1,1,0,0,0,0,0,0,0,0,0,0
161,1,1,0,0,0,1,0,0,0,0,0,0
162,1,1,0,0,0,0,0,0,0,0,0,0
163,0,0,1,1,0,0,1,1,0,0,0,0
164,1,1,1,0,0,0,0,0,0,0,0,0
165,0,0,1,0,1,0,1,1,0,0,0,0
166,1,1,1,0,0,0,0,0,0,0,0,1
167,1,1,0,1,0,0,0,1,1,0,0,0
168,1,1,1,0,0,1,0,0,0,0,0,0
169,1,1,1,1,0,0,0,0,0,0,0,0
170,0,0,0,1,0,0,1,1,0,0,1,0
171,0,0,1,0,1,0,1,1,0,0,0,0
172,1,1,1,0,1,0,0,0,0,0,0,0
173,0,0,0,0,0,1,1,1,1,0,0,0
174,1,1,0,0,1,0,0,0,0,0,0,0
