,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5,b6,z1,z2,z3,z4,z5,z6
0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
8,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
9,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
17,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
19,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
26,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
28,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
29,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
33,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
38,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
42,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
43,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
44,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
49,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
52,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
53,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
54,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
57,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
58,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0
59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
62,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
73,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
75,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
77,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0
78,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
79,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
80,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
83,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
84,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
86,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
91,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
96,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
97,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
