Years,Carrizo_eruption_freq,Carrizo_year_increase,Cholame_eruption_freq,Cholame_year_increase,Mojave_eruption_freq,Mojave_year_increase,Coachella_eruption_freq,Coachella_year_increase,Anza_eruption_freq,Anza_year_increase,Garlock_eruption_freq,Garlock_year_increase
0,26,6146,4,5821,1,5115,0,3254,0,2504,2,1609
1,25,6121,4,5817,0,5115,0,3254,0,2504,1,1608
2,25,6097,14,5804,1,5114,0,3254,0,2504,4,1604
3,52,6045,11,5793,1,5113,0,3255,0,2504,1,1602
4,54,5991,17,5776,9,5104,2,3253,0,2504,2,1600
5,63,5927,30,5746,13,5090,0,3253,0,2504,1,1599
6,90,5837,39,5707,12,5078,0,3253,0,2504,3,1596
7,81,5756,46,5661,15,5063,3,3250,0,2504,2,1594
8,107,5649,51,5610,13,5050,2,3248,1,2503,2,1592
9,113,5536,72,5538,14,5036,1,3247,2,2501,9,1583
10,150,5386,70,5468,26,5010,5,3242,1,2500,4,1579
11,157,5229,83,5385,24,4987,3,3239,4,2495,1,1578
12,182,5047,121,5264,41,4946,3,3236,3,2492,3,1576
13,240,4807,198,5066,44,4902,3,3233,2,2490,4,1572
14,344,4463,339,4727,77,4825,6,3227,2,2488,9,1563
15,559,3904,548,4178,134,4691,5,3222,6,2482,7,1556
16,933,2971,919,3259,341,4350,17,3205,6,2476,7,1549
17,1282,1689,1319,1940,686,3664,29,3176,10,2466,12,1537
18,1022,667,1098,842,852,2812,17,3158,12,2454,7,1530
19,488,179,553,289,869,1943,35,3123,20,2434,10,1520
20,155,24,202,87,885,1058,25,3098,22,2412,5,1515
21,17,7,52,35,676,382,16,3082,17,2395,8,1507
22,4,3,22,13,295,87,37,3045,17,2378,13,1494
23,1,2,7,6,80,7,29,3016,27,2351,6,1488
24,1,1,5,1,7,0,64,2952,24,2327,7,1481
25,0,1,1,0,-1,-1,89,2863,21,2306,15,1466
26,0,1,-1,-1,-1,-1,149,2714,23,2283,13,1453
27,1,0,-1,-1,-1,-1,204,2510,27,2256,17,1436
28,-1,-1,-1,-1,-1,-1,261,2249,22,2234,20,1416
29,-1,-1,-1,-1,-1,-1,319,1930,21,2213,10,1406
30,-1,-1,-1,-1,-1,-1,397,1533,35,2178,14,1392
31,-1,-1,-1,-1,-1,-1,369,1164,32,2146,17,1375
32,-1,-1,-1,-1,-1,-1,384,780,25,2121,13,1362
33,-1,-1,-1,-1,-1,-1,302,478,33,2088,11,1351
34,-1,-1,-1,-1,-1,-1,224,254,31,2057,11,1340
35,-1,-1,-1,-1,-1,-1,146,108,43,2014,10,1330
36,-1,-1,-1,-1,-1,-1,78,30,41,1973,14,1316
37,-1,-1,-1,-1,-1,-1,23,7,62,1911,8,1308
38,-1,-1,-1,-1,-1,-1,6,1,141,1770,21,1287
39,-1,-1,-1,-1,-1,-1,0,1,188,1582,11,1276
40,-1,-1,-1,-1,-1,-1,0,1,255,1327,15,1261
41,-1,-1,-1,-1,-1,-1,0,1,264,1063,19,1242
42,-1,-1,-1,-1,-1,-1,0,1,306,757,14,1228
43,-1,-1,-1,-1,-1,-1,0,1,243,514,14,1214
44,-1,-1,-1,-1,-1,-1,0,1,189,325,17,1197
45,-1,-1,-1,-1,-1,-1,0,1,136,189,17,1180
46,-1,-1,-1,-1,-1,-1,0,1,92,97,15,1165
47,-1,-1,-1,-1,-1,-1,1,0,49,48,24,1141
