,Probabilities
"(0, 0, 0, 0, 0, 0)","(0.23, 0.2334, 0.2269, 0.1607, 0.14, 0.1352)"
"(1, 1, 0, 0, 0, 0)","(0.0189, 0.0033, 0.1608, 0.1466, 0.1308, 0.1083)"
"(1, 1, 1, 0, 0, 0)","(0.0084, 0.0072, 0.0046, 0.1836, 0.1546, 0.1262)"
"(0, 0, 0, 1, 0, 0)","(0.1082, 0.1097, 0.101, 0.0, 0.0865, 0.0626)"
"(0, 0, 1, 0, 0, 0)","(0.1008, 0.1042, 0.0039, 0.0657, 0.0489, 0.0467)"
"(0, 0, 0, 0, 1, 0)","(0.0853, 0.0844, 0.0843, 0.0548, 0.0, 0.0596)"
"(1, 1, 0, 1, 0, 0)","(0.0097, 0.0022, 0.0827, 0.0, 0.0661, 0.0666)"
"(0, 0, 1, 1, 0, 0)","(0.0583, 0.0604, 0.0016, 0.0005, 0.0264, 0.0288)"
"(1, 1, 0, 0, 1, 0)","(0.0092, 0.0003, 0.0569, 0.0485, 0.0, 0.0557)"
"(1, 1, 1, 1, 0, 0)","(0.0013, 0.0039, 0.0023, 0.0, 0.0905, 0.0676)"
"(0, 0, 0, 0, 0, 1)","(0.0341, 0.0351, 0.0373, 0.0245, 0.0231, 0.0)"
"(0, 0, 1, 0, 1, 0)","(0.0378, 0.0387, 0.001, 0.0198, 0.0, 0.0159)"
"(0, 0, 0, 1, 1, 0)","(0.0315, 0.0329, 0.0324, 0.0, 0.0, 0.0139)"
"(1, 0, 1, 0, 0, 0)","(0.0152, 0.0351, 0.0, 0.0292, 0.0185, 0.0119)"
"(1, 1, 1, 0, 1, 0)","(0.0026, 0.0047, 0.0016, 0.0511, 0.002, 0.0467)"
"(0, 0, 1, 0, 0, 1)","(0.0255, 0.0267, 0.0, 0.025, 0.0192, 0.001)"
"(0, 1, 0, 0, 0, 0)","(0.0226, 0.0072, 0.0209, 0.0162, 0.0099, 0.0139)"
"(1, 1, 1, 0, 0, 1)","(0.0018, 0.0019, 0.0003, 0.0438, 0.0337, 0.002)"
"(1, 0, 0, 0, 0, 0)","(0.0087, 0.0198, 0.0154, 0.0073, 0.0079, 0.006)"
"(0, 0, 0, 1, 0, 1)","(0.021, 0.0201, 0.0141, 0.0, 0.0073, 0.001)"
"(1, 1, 0, 0, 0, 1)","(0.0026, 0.0003, 0.0196, 0.0188, 0.0152, 0.001)"
"(0, 0, 0, 0, 1, 1)","(0.0142, 0.0142, 0.0134, 0.0089, 0.0, 0.002)"
"(0, 0, 1, 1, 0, 1)","(0.0165, 0.0175, 0.0, 0.0, 0.0165, 0.002)"
"(1, 0, 1, 1, 0, 0)","(0.0087, 0.0212, 0.0003, 0.0, 0.0132, 0.007)"
"(0, 1, 0, 1, 0, 0)","(0.0116, 0.0058, 0.0095, 0.0, 0.0106, 0.0119)"
"(1, 1, 0, 1, 1, 0)","(0.0018, 0.0011, 0.0242, 0.0, 0.0, 0.0129)"
"(0, 0, 1, 0, 1, 1)","(0.0121, 0.0136, 0.0, 0.0099, 0.0, 0.0)"
"(1, 0, 0, 1, 0, 0)","(0.0042, 0.0067, 0.0075, 0.0, 0.0092, 0.008)"
"(1, 0, 1, 0, 1, 0)","(0.0092, 0.0148, 0.0, 0.0089, 0.0, 0.002)"
"(0, 0, 1, 1, 1, 0)","(0.0118, 0.0125, 0.0, 0.0, 0.0, 0.006)"
"(0, 1, 0, 0, 1, 0)","(0.0089, 0.0025, 0.0082, 0.0042, 0.0, 0.005)"
"(2, 1, 1, 0, 0, 0)","(0.0, 0.0003, 0.0003, 0.0094, 0.0059, 0.0099)"
"(0, 1, 1, 0, 0, 0)","(0.0055, 0.0022, 0.0003, 0.0052, 0.0073, 0.005)"
"(1, 0, 1, 0, 0, 1)","(0.0045, 0.0084, 0.0, 0.0047, 0.002, 0.002)"
"(1, 1, 0, 1, 0, 1)","(0.0024, 0.0006, 0.0114, 0.0, 0.0066, 0.0)"
"(1, 1, 1, 1, 0, 1)","(0.0016, 0.0008, 0.0007, 0.0005, 0.0172, 0.0)"
"(1, 1, 0, 0, 1, 1)","(0.0008, 0.0, 0.0085, 0.0042, 0.0, 0.005)"
"(2, 1, 0, 0, 0, 0)","(0.0003, 0.0, 0.0062, 0.0047, 0.002, 0.005)"
"(1, 1, 1, 1, 1, 0)","(0.0013, 0.0008, 0.0, 0.001, 0.0, 0.0139)"
"(1, 0, 0, 0, 1, 0)","(0.0021, 0.005, 0.0049, 0.0016, 0.0, 0.003)"
"(1, 1, 1, 0, 1, 1)","(0.0005, 0.0014, 0.0016, 0.0115, 0.0, 0.0)"
"(0, 1, 1, 1, 0, 0)","(0.0053, 0.0017, 0.0, 0.0, 0.004, 0.001)"
"(0, 1, 0, 1, 1, 0)","(0.0032, 0.0011, 0.0029, 0.0, 0.0, 0.004)"
"(0, 0, 1, 1, 1, 1)","(0.0053, 0.0053, 0.0, 0.0, 0.0, 0.0)"
"(0, 0, 0, 1, 1, 1)","(0.0032, 0.0031, 0.0036, 0.0, 0.0, 0.0)"
"(1, 0, 1, 1, 0, 1)","(0.0037, 0.0045, 0.0003, 0.0, 0.0013, 0.0)"
"(2, 1, 1, 1, 0, 0)","(0.0003, 0.0, 0.0, 0.0005, 0.0026, 0.006)"
"(0, 1, 1, 0, 1, 0)","(0.0034, 0.0003, 0.0, 0.0052, 0.0, 0.0)"
"(0, 1, 0, 0, 0, 1)","(0.0026, 0.0017, 0.001, 0.001, 0.002, 0.0)"
