,feature,probabilities
0,"(0, 0, 0, 0, 0, 0)","(0.4511, 0.4261, 0.3333, 0.1535, 0.1008, 0.0724)"
1,"(0, 0, 0, 0, 0, 1)","(0.4393, 0.4112, 0.2998, 0.1463, 0.0866, 0.0128)"
2,"(0, 0, 0, 0, 1, 0)","(0.4531, 0.3962, 0.3491, 0.1327, 0.0035, 0.0571)"
3,"(0, 0, 0, 0, 1, 1)","(0.4413, 0.3817, 0.3147, 0.1263, 0.0029, 0.0099)"
4,"(0, 0, 0, 1, 0, 0)","(0.4676, 0.4172, 0.327, 0.0031, 0.1099, 0.058)"
5,"(0, 0, 0, 1, 0, 1)","(0.4557, 0.4025, 0.2938, 0.0029, 0.0945, 0.0101)"
6,"(0, 0, 0, 1, 1, 0)","(0.4696, 0.3876, 0.3426, 0.0026, 0.0038, 0.0456)"
7,"(0, 0, 0, 1, 1, 1)","(0.4578, 0.3732, 0.3086, 0.0025, 0.0032, 0.0079)"
8,"(0, 0, 1, 0, 0, 0)","(0.3874, 0.3981, 0.0091, 0.1346, 0.1028, 0.0404)"
9,"(0, 0, 1, 0, 0, 1)","(0.3761, 0.3836, 0.0078, 0.1281, 0.0883, 0.0069)"
10,"(0, 0, 1, 0, 1, 0)","(0.3894, 0.3689, 0.0097, 0.116, 0.0036, 0.0316)"
11,"(0, 0, 1, 0, 1, 1)","(0.3781, 0.3549, 0.0083, 0.1103, 0.003, 0.0054)"
12,"(0, 0, 1, 1, 0, 0)","(0.4033, 0.3895, 0.0088, 0.0027, 0.112, 0.0321)"
13,"(0, 0, 1, 1, 0, 1)","(0.3919, 0.3751, 0.0076, 0.0025, 0.0964, 0.0055)"
14,"(0, 0, 1, 1, 1, 0)","(0.4053, 0.3605, 0.0095, 0.0022, 0.0039, 0.0251)"
15,"(0, 0, 1, 1, 1, 1)","(0.3938, 0.3466, 0.0081, 0.0021, 0.0033, 0.0043)"
16,"(0, 1, 0, 0, 0, 0)","(0.2417, 0.043, 0.2688, 0.1618, 0.0978, 0.0809)"
17,"(0, 1, 0, 0, 0, 1)","(0.233, 0.0405, 0.2394, 0.1542, 0.0839, 0.0144)"
18,"(0, 1, 0, 0, 1, 0)","(0.2432, 0.0382, 0.2828, 0.1401, 0.0034, 0.064)"
19,"(0, 1, 0, 0, 1, 1)","(0.2345, 0.036, 0.2524, 0.1334, 0.0028, 0.0112)"
20,"(0, 1, 0, 1, 0, 0)","(0.2541, 0.0415, 0.2632, 0.0033, 0.1066, 0.065)"
21,"(0, 1, 0, 1, 0, 1)","(0.2451, 0.0392, 0.2342, 0.0031, 0.0916, 0.0114)"
22,"(0, 1, 0, 1, 1, 0)","(0.2556, 0.0369, 0.277, 0.0028, 0.0037, 0.0512)"
23,"(0, 1, 0, 1, 1, 1)","(0.2466, 0.0348, 0.2471, 0.0026, 0.0031, 0.0089)"
24,"(0, 1, 1, 0, 0, 0)","(0.1969, 0.0385, 0.0067, 0.142, 0.0997, 0.0453)"
25,"(0, 1, 1, 0, 0, 1)","(0.1895, 0.0363, 0.0057, 0.1353, 0.0856, 0.0078)"
26,"(0, 1, 1, 0, 1, 0)","(0.1982, 0.0342, 0.0072, 0.1226, 0.0034, 0.0355)"
27,"(0, 1, 1, 0, 1, 1)","(0.1907, 0.0322, 0.0061, 0.1166, 0.0029, 0.0061)"
28,"(0, 1, 1, 1, 0, 0)","(0.2077, 0.0372, 0.0065, 0.0028, 0.1087, 0.0361)"
29,"(0, 1, 1, 1, 0, 1)","(0.1999, 0.035, 0.0056, 0.0027, 0.0934, 0.0062)"
30,"(0, 1, 1, 1, 1, 0)","(0.209, 0.033, 0.007, 0.0024, 0.0038, 0.0283)"
31,"(0, 1, 1, 1, 1, 1)","(0.2012, 0.0311, 0.006, 0.0023, 0.0032, 0.0048)"
32,"(1, 0, 0, 0, 0, 0)","(0.1002, 0.2986, 0.3483, 0.1539, 0.0952, 0.0762)"
33,"(1, 0, 0, 0, 0, 1)","(0.096, 0.286, 0.314, 0.1466, 0.0817, 0.0135)"
34,"(1, 0, 0, 0, 1, 0)","(0.101, 0.2734, 0.3644, 0.133, 0.0033, 0.0602)"
35,"(1, 0, 0, 0, 1, 1)","(0.0967, 0.2614, 0.3293, 0.1266, 0.0028, 0.0105)"
36,"(1, 0, 0, 1, 0, 0)","(0.1064, 0.2911, 0.3419, 0.0031, 0.1038, 0.0612)"
37,"(1, 0, 0, 1, 0, 1)","(0.1019, 0.2787, 0.3079, 0.0029, 0.0891, 0.0107)"
38,"(1, 0, 0, 1, 1, 0)","(0.1072, 0.2662, 0.3578, 0.0026, 0.0036, 0.0481)"
39,"(1, 0, 0, 1, 1, 1)","(0.1027, 0.2545, 0.323, 0.0025, 0.003, 0.0083)"
40,"(1, 0, 1, 0, 0, 0)","(0.079, 0.275, 0.0097, 0.1349, 0.0971, 0.0426)"
41,"(1, 0, 1, 0, 0, 1)","(0.0755, 0.263, 0.0083, 0.1284, 0.0833, 0.0073)"
42,"(1, 0, 1, 0, 1, 0)","(0.0795, 0.251, 0.0104, 0.1163, 0.0033, 0.0334)"
43,"(1, 0, 1, 0, 1, 1)","(0.0761, 0.2398, 0.0089, 0.1106, 0.0028, 0.0057)"
44,"(1, 0, 1, 1, 0, 0)","(0.0839, 0.2678, 0.0094, 0.0027, 0.1058, 0.0339)"
45,"(1, 0, 1, 1, 0, 1)","(0.0803, 0.2561, 0.0081, 0.0025, 0.0909, 0.0058)"
46,"(1, 0, 1, 1, 1, 0)","(0.0846, 0.2443, 0.0101, 0.0023, 0.0037, 0.0265)"
47,"(1, 0, 1, 1, 1, 1)","(0.0809, 0.2333, 0.0087, 0.0021, 0.0031, 0.0045)"
48,"(1, 1, 0, 0, 0, 0)","(0.0414, 0.0251, 0.2821, 0.1622, 0.0923, 0.0852)"
49,"(1, 1, 0, 0, 0, 1)","(0.0396, 0.0237, 0.2518, 0.1546, 0.0791, 0.0152)"
