,feature,probabilities
0,"[0, 0, 0, 0, 0, 0]",[0.2514947  0.2030338  0.08186834 0.06814175 0.09731979 0.0614749 ]
1,"[0, 0, 0, 0, 0, 1]",[0.22849995 0.19875184 0.07670791 0.07061688 0.09979518 0.04074593]
2,"[0, 0, 0, 0, 1, 0]",[0.23165673 0.17516726 0.09243371 0.06553812 0.03150722 0.0456633 ]
3,"[0, 0, 0, 0, 1, 1]",[0.2271475  0.2143239  0.08601944 0.08133195 0.03834774 0.02921101]
4,"[0, 0, 0, 1, 0, 0]",[0.25425968 0.20182796 0.10355722 0.01181718 0.13590448 0.06006441]
5,"[0, 0, 0, 1, 0, 1]",[0.2352908  0.21292165 0.10320141 0.01180673 0.14605027 0.04509955]
6,"[0, 0, 0, 1, 1, 0]",[0.23608425 0.18117772 0.12156136 0.01089814 0.04654015 0.04878338]
7,"[0, 0, 0, 1, 1, 1]",[0.23391032 0.22928622 0.11532726 0.01373007 0.05795555 0.03237374]
8,"[0, 0, 1, 0, 0, 0]",[0.19559439 0.18533786 0.0058443  0.06229411 0.10713127 0.040643  ]
9,"[0, 0, 1, 0, 0, 1]",[0.16298077 0.1460405  0.00545281 0.05499567 0.10106114 0.02793342]
10,"[0, 0, 1, 0, 1, 0]",[0.17791736 0.15717404 0.00662871 0.05985609 0.03703721 0.03055048]
11,"[0, 0, 1, 0, 1, 1]",[0.16193472 0.15829857 0.00617254 0.06350242 0.03886787 0.01995021]
12,"[0, 0, 1, 1, 0, 0]",[0.21115163 0.21746854 0.00850494 0.01022216 0.09961881 0.03908651]
13,"[0, 0, 1, 1, 0, 1]",[0.1774563  0.17563581 0.00791442 0.00912309 0.09705414 0.02693471]
14,"[0, 0, 1, 1, 1, 0]",[0.18218997 0.16548286 0.00916506 0.00973919 0.05517194 0.03394501]
15,"[0, 0, 1, 1, 1, 1]",[0.16717596 0.17019695 0.00852949 0.01054998 0.05872538 0.02213311]
16,"[0, 1, 0, 0, 0, 0]",[0.05851188 0.02704382 0.14025734 0.06699127 0.10404069 0.05681628]
17,"[0, 1, 0, 0, 0, 1]",[0.05760606 0.03530215 0.13092005 0.0844318  0.12631644 0.03640339]
18,"[0, 1, 0, 0, 1, 0]",[0.0528222  0.0226457  0.15706894 0.06442856 0.03385356 0.04214908]
19,"[0, 1, 0, 0, 1, 1]",[0.05365632 0.03233583 0.14646389 0.08617062 0.04418099 0.02659284]
20,"[0, 1, 0, 1, 0, 0]",[0.06150856 0.03013496 0.1872295  0.0109948  0.12838772 0.05983481]
21,"[0, 1, 0, 1, 0, 1]",[0.06046479 0.03940771 0.17409842 0.0143113  0.16805495 0.03917796]
22,"[0, 1, 0, 1, 1, 0]",[0.05428908 0.02404572 0.20527337 0.01052605 0.05051124 0.0467702 ]
23,"[0, 1, 0, 1, 1, 1]",[0.05514504 0.03431391 0.1921556  0.01435731 0.06557535 0.02956104]
24,"[0, 1, 1, 0, 0, 0]",[0.04445929 0.0259341  0.01091751 0.06142118 0.09127172 0.03486473]
25,"[0, 1, 1, 0, 0, 1]",[0.03981095 0.02620513 0.01007875 0.06615428 0.10415865 0.02328537]
26,"[0, 1, 1, 0, 1, 0]",[0.03849036 0.01994076 0.01206129 0.05883667 0.03977846 0.028165  ]
27,"[0, 1, 1, 0, 1, 1]",[0.03834995 0.026996   0.01113615 0.07603941 0.05009838 0.01778291]
28,"[0, 1, 1, 1, 0, 0]",[0.0487236  0.0314986  0.01585092 0.01007109 0.08476581 0.0335218 ]
29,"[0, 1, 1, 1, 0, 1]",[0.04403486 0.03261441 0.0146279  0.01108615 0.09824371 0.02231685]
30,"[0, 1, 1, 1, 1, 0]",[0.03957587 0.02117719 0.01664149 0.00956464 0.05917293 0.03130304]
31,"[0, 1, 1, 1, 1, 1]",[0.03978109 0.0293695  0.01535912 0.01277543 0.07524436 0.01973344]
32,"[1, 0, 0, 0, 0, 0]",[0.06338705 0.04299863 0.05643747 0.06680651 0.09503761 0.07070445]
33,"[1, 0, 0, 0, 0, 1]",[0.05907502 0.04794222 0.05257883 0.07588246 0.10559574 0.04632516]
34,"[1, 0, 0, 0, 1, 0]",[0.05725212 0.03610205 0.06394949 0.06425038 0.03071585 0.05265216]
35,"[1, 0, 0, 0, 1, 1]",[0.05815191 0.05124827 0.05919024 0.08593787 0.04012584 0.03335446]
36,"[1, 0, 0, 1, 0, 0]",[0.06468072 0.04271222 0.07094268 0.01181749 0.12140456 0.06449541]
37,"[1, 0, 0, 1, 0, 1]",[0.06129642 0.05217611 0.07144117 0.01274862 0.15296961 0.05111871]
38,"[1, 0, 0, 1, 1, 0]",[0.05832275 0.03668931 0.08310503 0.01088616 0.04478271 0.05377255]
39,"[1, 0, 0, 1, 1, 1]",[0.05975747 0.05431833 0.08021427 0.01431548 0.05967912 0.03704866]
40,"[1, 0, 1, 0, 0, 0]",[0.04766693 0.04027665 0.00399341 0.0611843  0.09045245 0.04478325]
41,"[1, 0, 1, 0, 0, 1]",[0.0403707  0.03485099 0.00370227 0.05927116 0.09415976 0.03053628]
42,"[1, 0, 1, 0, 1, 0]",[0.04177134 0.03184218 0.00445619 0.05867297 0.03611212 0.03531186]
43,"[1, 0, 1, 0, 1, 1]",[0.03934838 0.0367754  0.00413163 0.06827646 0.04128947 0.02274946]
44,"[1, 0, 1, 1, 0, 0]",[0.0520421  0.04795718 0.00571762 0.01017527 0.08322094 0.04169485]
