,Feature,Probabilities
0,"(0, 0, 0, 0, 0, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
1,"(0, 0, 0, 0, 0, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
2,"(0, 0, 0, 0, 1, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
3,"(0, 0, 0, 0, 1, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
4,"(0, 0, 0, 1, 0, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
5,"(0, 0, 0, 1, 0, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
6,"(0, 0, 0, 1, 1, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
7,"(0, 0, 0, 1, 1, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
8,"(0, 0, 1, 0, 0, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
9,"(0, 0, 1, 0, 0, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
10,"(0, 0, 1, 0, 1, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
11,"(0, 0, 1, 0, 1, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
12,"(0, 0, 1, 1, 0, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
13,"(0, 0, 1, 1, 0, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
