,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
0,0,1,0,1,0,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,1,0
2,1,1,1,0,1,0,0,0,0,0,0,0
3,1,1,0,1,0,0,0,0,0,0,0,0
4,1,1,1,1,0,0,0,0,0,0,0,0
5,1,1,1,0,0,0,0,0,0,0,0,0
6,2,1,1,0,0,0,0,0,0,0,0,0
7,1,1,1,0,0,0,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,1,0,0
9,1,1,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0
12,0,0,0,1,0,0,0,0,0,0,0,0
13,0,0,0,0,0,1,1,1,1,0,0,0
14,0,0,0,1,0,0,1,1,0,0,0,0
15,0,1,0,0,0,1,1,0,1,0,0,0
16,1,1,1,1,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,1,1,1,1,1,0
18,1,1,0,0,0,0,0,0,1,0,0,1
19,1,1,1,0,0,0,0,0,0,0,0,0
20,1,1,1,1,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,1,1,1,0,0,0
23,0,0,0,1,0,0,1,1,1,0,0,0
24,1,1,0,1,0,0,0,0,0,0,0,0
25,1,1,1,0,1,0,0,0,0,0,0,0
26,1,1,1,1,1,0,0,0,0,0,0,0
27,1,1,0,1,1,0,0,0,0,0,0,0
28,0,0,0,1,1,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,1
30,2,1,1,0,0,0,0,0,0,0,0,0
31,1,1,0,0,0,0,0,0,1,0,0,0
32,1,1,1,1,0,0,0,0,0,0,0,0
33,1,1,0,1,0,0,0,0,1,0,1,0
34,1,1,1,1,0,1,0,0,0,0,0,0
35,1,1,0,0,1,0,0,0,0,1,0,0
36,1,1,1,0,0,0,0,0,0,1,0,0
37,1,1,0,0,0,0,0,0,0,0,0,0
38,0,0,0,1,0,0,1,1,1,0,0,0
39,1,1,0,0,1,0,0,0,0,0,0,0
