,feature,probabilities
0,"(0, 0, 0, 0, 0, 0)","(0.4398, 0.4026, 0.3409, 0.1531, 0.1045, 0.0647)"
1,"(0, 0, 0, 0, 0, 1)","(0.4493, 0.4032, 0.3315, 0.1551, 0.1104, 0.0085)"
2,"(0, 0, 0, 0, 1, 0)","(0.4344, 0.4081, 0.3384, 0.1311, 0.001, 0.0621)"
3,"(0, 0, 0, 0, 1, 1)","(0.4439, 0.4087, 0.3291, 0.1328, 0.001, 0.0081)"
4,"(0, 0, 0, 1, 0, 0)","(0.4387, 0.4046, 0.3298, 0.0017, 0.1054, 0.0612)"
5,"(0, 0, 0, 1, 0, 1)","(0.4482, 0.4052, 0.3206, 0.0017, 0.1113, 0.008)"
6,"(0, 0, 0, 1, 1, 0)","(0.4333, 0.4101, 0.3274, 0.0014, 0.001, 0.0587)"
7,"(0, 0, 0, 1, 1, 1)","(0.4428, 0.4107, 0.3182, 0.0014, 0.0011, 0.0077)"
8,"(0, 0, 1, 0, 0, 0)","(0.3703, 0.3852, 0.0075, 0.1538, 0.0973, 0.0422)"
9,"(0, 0, 1, 0, 0, 1)","(0.3793, 0.3858, 0.0072, 0.1558, 0.1028, 0.0054)"
10,"(0, 0, 1, 0, 1, 0)","(0.3651, 0.3906, 0.0075, 0.1317, 0.0009, 0.0404)"
11,"(0, 0, 1, 0, 1, 1)","(0.3741, 0.3912, 0.0072, 0.1335, 0.001, 0.0052)"
12,"(0, 0, 1, 1, 0, 0)","(0.3692, 0.3872, 0.0072, 0.0017, 0.0981, 0.0398)"
13,"(0, 0, 1, 1, 0, 1)","(0.3783, 0.3878, 0.0069, 0.0017, 0.1037, 0.0051)"
14,"(0, 0, 1, 1, 1, 0)","(0.3641, 0.3927, 0.0071, 0.0014, 0.0009, 0.0382)"
15,"(0, 0, 1, 1, 1, 1)","(0.3731, 0.3932, 0.0068, 0.0015, 0.001, 0.0049)"
16,"(0, 1, 0, 0, 0, 0)","(0.2384, 0.0267, 0.2842, 0.1709, 0.1043, 0.06)"
17,"(0, 1, 0, 0, 0, 1)","(0.2454, 0.0268, 0.2757, 0.1731, 0.1101, 0.0078)"
18,"(0, 1, 0, 0, 1, 0)","(0.2344, 0.0273, 0.2819, 0.1467, 0.001, 0.0575)"
19,"(0, 1, 0, 0, 1, 1)","(0.2413, 0.0274, 0.2735, 0.1487, 0.001, 0.0075)"
20,"(0, 1, 0, 1, 0, 0)","(0.2376, 0.0269, 0.2742, 0.0019, 0.1051, 0.0567)"
21,"(0, 1, 0, 1, 0, 1)","(0.2446, 0.027, 0.2659, 0.002, 0.111, 0.0074)"
22,"(0, 1, 0, 1, 1, 0)","(0.2336, 0.0275, 0.272, 0.0016, 0.001, 0.0543)"
23,"(0, 1, 0, 1, 1, 1)","(0.2405, 0.0276, 0.2638, 0.0016, 0.0011, 0.0071)"
24,"(0, 1, 1, 0, 0, 0)","(0.1899, 0.0249, 0.0058, 0.1716, 0.0971, 0.039)"
25,"(0, 1, 1, 0, 0, 1)","(0.1959, 0.0249, 0.0056, 0.1739, 0.1025, 0.005)"
26,"(0, 1, 1, 0, 1, 0)","(0.1865, 0.0254, 0.0057, 0.1474, 0.0009, 0.0374)"
27,"(0, 1, 1, 0, 1, 1)","(0.1924, 0.0255, 0.0055, 0.1494, 0.001, 0.0048)"
28,"(0, 1, 1, 1, 0, 0)","(0.1892, 0.0251, 0.0055, 0.002, 0.0979, 0.0368)"
29,"(0, 1, 1, 1, 0, 1)","(0.1952, 0.0251, 0.0053, 0.002, 0.1034, 0.0047)"
30,"(0, 1, 1, 1, 1, 0)","(0.1858, 0.0256, 0.0055, 0.0016, 0.0009, 0.0353)"
31,"(0, 1, 1, 1, 1, 1)","(0.1917, 0.0257, 0.0052, 0.0017, 0.001, 0.0045)"
32,"(1, 0, 0, 0, 0, 0)","(0.0852, 0.2958, 0.3422, 0.1322, 0.1, 0.0752)"
33,"(1, 0, 0, 0, 0, 1)","(0.0882, 0.2963, 0.3329, 0.134, 0.1056, 0.01)"
34,"(1, 0, 0, 0, 1, 0)","(0.0834, 0.3006, 0.3397, 0.1128, 0.0009, 0.0721)"
35,"(1, 0, 0, 0, 1, 1)","(0.0864, 0.3011, 0.3304, 0.1144, 0.001, 0.0095)"
36,"(1, 0, 0, 1, 0, 0)","(0.0848, 0.2976, 0.3311, 0.0014, 0.1008, 0.0711)"
37,"(1, 0, 0, 1, 0, 1)","(0.0878, 0.2981, 0.3219, 0.0015, 0.1065, 0.0094)"
38,"(1, 0, 0, 1, 1, 0)","(0.0831, 0.3024, 0.3287, 0.0012, 0.0009, 0.0682)"
39,"(1, 0, 0, 1, 1, 1)","(0.0861, 0.3029, 0.3195, 0.0012, 0.001, 0.009)"
40,"(1, 0, 1, 0, 0, 0)","(0.0652, 0.2808, 0.0076, 0.1328, 0.0931, 0.0492)"
41,"(1, 0, 1, 0, 0, 1)","(0.0675, 0.2813, 0.0073, 0.1346, 0.0983, 0.0064)"
42,"(1, 0, 1, 0, 1, 0)","(0.0638, 0.2855, 0.0075, 0.1133, 0.0009, 0.0471)"
43,"(1, 0, 1, 0, 1, 1)","(0.0662, 0.286, 0.0072, 0.1149, 0.0009, 0.0061)"
44,"(1, 0, 1, 1, 0, 0)","(0.0649, 0.2826, 0.0072, 0.0014, 0.0938, 0.0465)"
45,"(1, 0, 1, 1, 0, 1)","(0.0673, 0.2831, 0.0069, 0.0015, 0.0991, 0.006)"
