features,probability
"(0, 0, 0, 0, 0, 0)","(0.41498135770190253, 0.3880633502647031, 0.3220527617936309, 0.15922172036043503, 0.11110774555588797, 0.07334161534811673)"
"(0, 0, 0, 0, 0, 1)","(0.4122896346771757, 0.417056327464309, 0.39040586186704396, 0.14940776474155418, 0.1160510646952416, 0.0015716972181814657)"
"(0, 0, 0, 0, 1, 0)","(0.41765328745397645, 0.40771357577738554, 0.3588489040794544, 0.12457977060365252, 0.0, 0.05928787875692769)"
"(0, 0, 0, 0, 1, 1)","(0.4123400706581642, 0.4005334976914334, 0.33365306153776, 0.1358260007164742, 0.0, 0.02350098004610573)"
"(0, 0, 0, 1, 0, 0)","(0.42629353758309746, 0.41441600556341335, 0.3308752624288148, 0.0, 0.1006683288960015, 0.05645521978475882)"
"(0, 0, 0, 1, 0, 1)","(0.45122360420889174, 0.4266820293468434, 0.35194485813134513, 0.0, 0.08415033659395244, 0.012146073192126978)"
"(0, 0, 0, 1, 1, 0)","(0.3933430979313547, 0.37687449796209876, 0.34391137790833604, 0.001664208533439559, 0.0, 0.0459812328384275)"
"(0, 0, 0, 1, 1, 1)","(0.23537016234886654, 0.20613660600828243, 0.25804760748047034, 0.0, 0.0, 0.0)"
"(0, 0, 1, 0, 0, 0)","(0.37539602046466236, 0.3698706867294559, 0.011000115377638574, 0.14579560924128085, 0.0834357465496947, 0.0452140518216169)"
"(0, 0, 1, 0, 0, 1)","(0.3744622705331617, 0.38040246389247634, 0.002392400639325797, 0.16621859308238687, 0.1292469415241932, 0.005428790979933131)"
"(0, 0, 1, 0, 1, 0)","(0.3682971682964256, 0.3651934380294879, 0.01084134346561408, 0.1586660666363696, 0.0005461357461303054, 0.03929166109673954)"
"(0, 0, 1, 0, 1, 1)","(0.4113085041132981, 0.4113085041132981, 0.011560243459118347, 0.12119534903250705, 0.0, 0.0)"
"(0, 0, 1, 1, 0, 0)","(0.3700370392761383, 0.3628385185414752, 0.011278863576227396, 0.0, 0.10155045341417386, 0.0351363455057671)"
"(0, 0, 1, 1, 0, 1)","(0.2974222477233869, 0.2938052428919343, 0.0, 0.0, 0.11899808876813084, 0.0)"
"(0, 0, 1, 1, 1, 0)","(0.351576838815576, 0.385091391510874, 0.005708012360743149, 0.0, 0.0, 0.04165013596758494)"
"(0, 0, 1, 1, 1, 1)","(0.37766272904424747, 0.37766272904424747, 0.0, 0.0, 0.0, 0.0)"
"(0, 1, 0, 0, 0, 0)","(0.3953510151798868, 0.13966947721026332, 0.21767679991779057, 0.17045602030313517, 0.07711275673832887, 0.037228280042156656)"
"(0, 1, 0, 0, 0, 1)","(0.3051692739062467, 0.15785801013407513, 0.30734516956101665, 0.045691711503992274, 0.11458025065101446, 0.0)"
"(0, 1, 0, 0, 1, 0)","(0.3840168858132845, 0.10407691847516602, 0.22970768968539204, 0.10675435080303965, 0.0, 0.07379507813517734)"
"(0, 1, 0, 0, 1, 1)","(0.3760086679280769, 0.14127137508258125, 0.2750581320791551, 0.1675303250389761, 0.0, 0.062417957706922475)"
