San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
2,2,11,3,0,12
3,3,12,4,1,13
4,4,13,5,2,14
5,5,14,6,3,15
6,6,15,7,4,16
7,7,16,8,5,17
8,0,17,9,6,18
9,1,18,10,7,19
10,2,19,11,8,20
11,3,20,12,9,21
0,4,0,13,10,22
1,5,1,14,11,23
2,6,2,15,12,24
3,7,3,16,13,25
4,8,4,17,14,26
5,0,5,18,15,27
6,1,6,19,16,28
7,2,7,20,17,29
8,3,8,21,18,30
9,4,9,22,19,31
10,5,10,23,20,32
11,6,11,24,21,33
12,7,12,25,22,34
13,8,13,26,23,35
14,9,14,27,24,36
15,10,15,28,25,37
16,11,16,29,26,38
17,0,17,30,27,39
18,1,18,31,28,40
19,2,19,0,29,41
0,0,0,1,30,0
1,1,1,2,31,1
2,2,2,3,32,2
3,3,3,4,33,3
4,4,4,5,34,4
5,5,5,6,35,0
6,6,6,7,36,1
7,7,7,8,37,2
8,8,8,9,38,3
9,9,9,10,39,4
10,10,10,11,40,5
11,11,11,12,41,6
12,12,12,13,0,7
13,13,13,14,1,8
0,0,14,15,2,9
1,1,15,16,3,10
2,2,16,17,4,11
3,3,17,18,5,12
4,4,18,19,6,13
5,5,19,20,7,14
6,6,0,21,8,15
7,7,1,22,9,16
8,8,2,23,10,17
9,9,3,24,11,18
10,10,4,25,12,19
11,11,5,26,13,20
12,12,6,27,14,21
13,13,7,28,15,22
14,14,8,29,16,23
15,15,9,30,17,24
0,16,10,31,18,25
1,17,11,32,19,26
2,18,12,33,20,27
3,19,13,34,21,28
4,20,14,0,22,29
5,21,15,1,23,30
6,22,16,2,24,31
7,23,17,3,25,32
8,24,18,4,26,33
0,0,19,5,27,34
1,1,20,6,28,35
2,2,21,7,29,36
3,3,0,8,30,37
4,4,1,9,31,38
5,5,2,10,32,39
6,6,3,11,33,40
7,7,4,12,34,41
8,8,5,13,35,42
9,9,6,14,36,43
10,10,7,15,37,44
11,11,8,16,38,45
12,12,9,17,39,46
13,13,10,18,0,47
0,14,11,19,1,48
1,15,12,20,2,49
2,16,13,21,3,50
3,0,14,22,4,51
4,1,15,23,5,52
5,2,16,24,6,53
6,3,17,25,7,54
7,4,18,26,8,55
8,5,19,27,9,56
9,6,20,28,10,57
10,7,21,29,11,58
11,8,0,30,12,59
12,9,1,0,13,60
13,10,2,1,14,61
0,0,3,2,15,62
1,1,4,3,16,63
2,2,5,4,17,64
3,3,6,5,18,65
4,4,7,6,19,66
5,5,8,7,20,67
6,6,9,8,21,68
7,7,10,9,22,69
8,8,11,10,23,0
9,0,12,11,24,1
10,1,13,12,25,2
11,2,14,13,26,3
12,3,15,14,27,4
13,4,16,15,28,5
14,5,17,16,29,6
15,6,0,17,30,7
16,7,1,18,31,8
0,8,2,19,32,9
1,9,3,20,33,10
2,10,4,21,34,11
3,11,5,22,35,12
4,12,6,23,36,13
5,13,7,24,37,14
6,14,8,25,38,15
7,15,9,26,0,16
8,16,10,27,1,17
9,0,11,28,2,18
10,1,12,29,3,19
11,2,13,30,4,20
12,3,14,31,5,21
13,4,15,32,6,22
14,5,16,33,7,23
15,6,17,34,8,24
0,7,18,35,9,25
1,8,19,36,10,26
2,9,0,37,11,27
3,10,1,0,12,28
4,11,2,1,13,29
5,12,3,2,14,30
6,13,4,3,15,31
7,14,5,4,16,32
8,15,6,5,17,33
9,16,7,6,18,34
10,17,8,7,19,35
11,18,9,8,20,36
12,19,10,9,21,37
0,0,11,10,22,38
1,1,12,11,23,39
2,2,13,12,24,40
3,3,14,13,25,41
4,4,15,14,26,42
5,5,16,15,27,43
6,6,17,16,28,44
7,7,18,17,29,45
8,8,19,18,30,46
9,9,20,19,31,47
10,10,21,20,32,48
11,11,0,21,33,49
12,12,1,22,34,50
13,13,2,23,35,51
14,14,3,24,36,52
15,15,4,25,37,53
16,16,5,26,38,54
0,0,6,27,39,55
1,1,7,28,40,56
2,2,8,29,41,57
3,3,9,30,42,58
4,4,10,31,43,59
5,5,11,0,44,60
6,6,12,1,45,61
7,7,13,2,0,62
8,8,14,3,1,63
9,9,15,4,2,64
10,10,16,5,3,65
11,11,17,6,4,66
12,12,0,7,5,67
13,13,1,8,6,68
14,14,2,9,7,69
15,15,3,10,8,70
16,16,4,11,9,71
17,17,5,12,10,72
0,0,6,13,11,73
1,1,7,14,12,74
2,2,8,15,13,75
3,3,9,16,14,76
4,4,10,17,15,77
5,5,11,18,16,78
6,6,12,19,17,79
7,7,13,20,18,80
8,8,14,21,19,81
9,9,15,22,20,82
10,10,16,23,21,83
11,11,17,24,22,84
12,12,18,25,23,85
13,13,19,26,24,86
14,14,20,27,25,87
15,15,21,28,26,88
16,16,22,29,27,89
0,0,0,30,28,90
1,1,1,31,29,91
2,2,2,0,30,92
3,3,3,1,31,93
4,4,4,2,32,94
5,5,5,3,33,95
6,6,6,4,34,96
7,7,7,5,35,97
8,8,8,6,36,98
9,9,9,7,37,99
10,10,10,8,38,100
11,11,11,9,39,101
12,12,12,10,0,102
13,13,13,11,1,103
14,14,14,12,2,104
15,15,15,13,3,105
16,16,16,14,4,106
17,17,17,15,5,107
0,0,0,16,6,108
1,1,1,17,7,109
2,2,2,18,8,110
3,3,3,19,9,111
4,4,4,20,10,112
5,5,5,21,11,113
6,6,6,22,12,114
7,7,7,23,13,115
8,8,8,24,14,116
9,9,9,25,15,117
10,10,10,26,16,118
11,11,11,27,17,119
12,12,12,28,18,120
13,13,13,29,19,121
14,14,14,30,20,122
15,15,15,31,21,123
16,16,16,0,22,124
17,17,17,1,23,125
0,0,18,2,24,126
1,1,19,3,25,127
2,2,20,4,26,128
3,3,21,5,27,129
4,4,22,6,28,130
5,5,0,7,29,0
6,6,1,8,30,1
7,7,2,9,31,2
8,8,3,10,32,3
9,9,4,11,33,4
10,10,5,12,34,5
11,11,6,13,35,6
12,12,7,14,36,7
13,13,8,15,37,8
14,14,9,16,38,9
15,15,10,17,39,10
16,16,11,18,40,11
0,0,12,19,41,12
1,1,13,20,42,13
2,2,14,21,0,14
3,3,15,22,1,15
4,4,16,23,2,16
5,5,17,24,3,17
6,6,18,25,4,18
7,7,19,26,5,19
8,8,0,27,6,20
9,9,1,28,7,21
10,10,2,29,8,22
11,11,3,30,9,23
12,12,4,31,10,24
13,13,5,0,11,25
14,14,6,1,12,26
15,15,7,2,13,27
16,16,8,3,14,28
0,0,9,4,15,29
1,1,10,5,16,30
2,2,11,6,17,31
3,3,12,7,18,32
4,4,13,8,19,33
5,5,14,9,20,34
6,6,15,10,21,35
7,7,16,11,22,36
8,8,17,12,23,37
9,9,0,13,24,38
10,10,1,14,25,39
11,11,2,15,26,40
12,12,3,16,27,41
13,13,4,17,28,42
14,14,5,18,29,43
15,15,6,19,30,44
16,16,7,20,31,45
17,17,8,21,32,46
0,0,9,22,33,47
1,1,10,23,34,48
2,2,11,24,35,49
3,3,12,25,36,50
4,4,0,26,37,51
5,5,1,0,38,52
6,6,2,1,39,53
7,7,3,2,40,54
8,8,4,3,41,55
9,9,5,4,42,56
10,10,6,5,43,57
11,11,7,6,44,58
12,12,0,7,0,59
13,13,1,8,1,60
14,14,2,9,2,61
15,15,3,10,3,62
0,0,4,11,4,63
1,1,5,12,5,64
2,2,6,13,6,65
3,3,7,14,7,66
4,4,8,15,8,67
5,5,9,16,9,68
6,6,10,17,10,69
7,7,0,18,11,70
8,8,1,19,12,71
9,9,2,20,13,72
10,10,3,21,14,73
11,11,4,22,15,74
12,12,5,23,16,75
13,13,6,24,17,76
14,14,7,25,18,77
15,15,8,26,19,78
16,16,9,27,20,79
17,17,10,28,21,80
0,0,11,29,22,81
1,1,12,30,23,82
2,2,13,31,24,83
3,3,14,0,25,84
4,4,15,1,26,85
5,5,0,2,27,86
6,6,1,3,28,87
7,7,2,4,29,88
8,8,3,5,30,89
9,9,4,6,31,90
10,10,5,7,32,91
11,11,6,8,33,92
