,feature,probabilities
0,"(0, 0, 0, 0, 0, 0)","(0.241, 0.2404, 0.1996, 0.164, 0.1453, 0.1398)"
1,"(1, 1, 0, 0, 0, 0)","(0.0203, 0.0029, 0.185, 0.1342, 0.128, 0.132)"
2,"(1, 1, 1, 0, 0, 0)","(0.0055, 0.0075, 0.0051, 0.1909, 0.1747, 0.134)"
3,"(0, 0, 0, 1, 0, 0)","(0.1188, 0.1176, 0.1062, 0.001, 0.072, 0.0602)"
4,"(0, 0, 0, 0, 1, 0)","(0.1002, 0.1031, 0.0966, 0.0517, 0.0, 0.0369)"
5,"(0, 0, 1, 0, 0, 0)","(0.0964, 0.102, 0.007, 0.0755, 0.0587, 0.0466)"
6,"(1, 1, 0, 1, 0, 0)","(0.0077, 0.0006, 0.0801, 0.0, 0.068, 0.0854)"
7,"(0, 0, 1, 1, 0, 0)","(0.0515, 0.0539, 0.0006, 0.0, 0.0227, 0.0136)"
8,"(1, 1, 1, 1, 0, 0)","(0.0016, 0.0029, 0.0025, 0.0, 0.08, 0.0505)"
9,"(1, 1, 0, 0, 1, 0)","(0.0044, 0.0012, 0.054, 0.0378, 0.0, 0.0388)"
10,"(0, 0, 1, 0, 1, 0)","(0.0416, 0.0429, 0.0, 0.0358, 0.0, 0.0155)"
11,"(0, 0, 0, 1, 1, 0)","(0.0356, 0.0371, 0.0394, 0.001, 0.0, 0.0175)"
12,"(0, 0, 0, 0, 0, 1)","(0.0274, 0.0295, 0.0292, 0.0179, 0.0133, 0.0)"
13,"(1, 1, 1, 0, 1, 0)","(0.0016, 0.0017, 0.0032, 0.0626, 0.0013, 0.0427)"
14,"(1, 0, 0, 0, 0, 0)","(0.0115, 0.0203, 0.0254, 0.0099, 0.0147, 0.0175)"
15,"(1, 0, 1, 0, 0, 0)","(0.0082, 0.0295, 0.0, 0.0298, 0.012, 0.0155)"
16,"(0, 0, 1, 0, 0, 1)","(0.0252, 0.0272, 0.0, 0.0199, 0.0187, 0.0019)"
17,"(1, 1, 1, 0, 0, 1)","(0.0, 0.0017, 0.0006, 0.0467, 0.0307, 0.0)"
18,"(1, 1, 0, 0, 0, 1)","(0.0027, 0.0, 0.0178, 0.0278, 0.024, 0.0039)"
19,"(0, 1, 0, 0, 0, 0)","(0.017, 0.0087, 0.0114, 0.0129, 0.0147, 0.0078)"
20,"(1, 0, 1, 1, 0, 0)","(0.0104, 0.0238, 0.0006, 0.0, 0.0067, 0.0252)"
21,"(0, 0, 0, 1, 0, 1)","(0.0219, 0.0174, 0.0184, 0.0, 0.004, 0.0019)"
22,"(0, 0, 1, 1, 0, 1)","(0.0159, 0.0156, 0.0, 0.0, 0.0133, 0.0)"
23,"(0, 1, 0, 0, 1, 0)","(0.0137, 0.0052, 0.0102, 0.003, 0.0, 0.0097)"
24,"(0, 0, 1, 0, 1, 1)","(0.0153, 0.0162, 0.0, 0.008, 0.0, 0.0)"
25,"(1, 1, 0, 1, 1, 0)","(0.0005, 0.0, 0.021, 0.0, 0.0, 0.0175)"
26,"(0, 0, 1, 1, 1, 0)","(0.0137, 0.0145, 0.0, 0.0, 0.0, 0.0097)"
27,"(0, 1, 0, 1, 0, 0)","(0.0104, 0.0046, 0.0076, 0.0, 0.0067, 0.0039)"
28,"(0, 0, 0, 0, 1, 1)","(0.0071, 0.0064, 0.0076, 0.008, 0.0, 0.0019)"
29,"(0, 1, 1, 0, 0, 0)","(0.006, 0.0012, 0.0, 0.004, 0.0093, 0.0078)"
30,"(1, 1, 1, 1, 0, 1)","(0.0033, 0.0006, 0.0019, 0.001, 0.02, 0.0)"
31,"(1, 0, 0, 1, 0, 0)","(0.0049, 0.0058, 0.0045, 0.0, 0.0067, 0.0039)"
32,"(1, 0, 0, 0, 1, 0)","(0.0016, 0.0035, 0.0051, 0.003, 0.0, 0.0078)"
33,"(1, 0, 1, 0, 0, 1)","(0.0049, 0.0081, 0.0, 0.003, 0.0027, 0.0019)"
34,"(0, 1, 1, 1, 0, 0)","(0.0071, 0.0041, 0.0, 0.0, 0.0067, 0.0019)"
35,"(1, 1, 0, 1, 0, 1)","(0.0011, 0.0, 0.0114, 0.0, 0.0067, 0.0)"
36,"(2, 1, 1, 0, 0, 0)","(0.0, 0.0, 0.0, 0.008, 0.0027, 0.0078)"
37,"(2, 1, 0, 0, 0, 0)","(0.0005, 0.0, 0.0102, 0.003, 0.0013, 0.0019)"
38,"(1, 0, 1, 0, 1, 0)","(0.0022, 0.0064, 0.0, 0.008, 0.0, 0.0)"
39,"(1, 1, 0, 0, 1, 1)","(0.0016, 0.0, 0.007, 0.006, 0.0, 0.0019)"
40,"(0, 1, 0, 0, 0, 1)","(0.0044, 0.0017, 0.0051, 0.002, 0.0, 0.0)"
41,"(1, 0, 0, 0, 0, 1)","(0.0022, 0.0035, 0.0032, 0.001, 0.0027, 0.0)"
42,"(1, 0, 1, 0, 1, 1)","(0.0049, 0.0064, 0.0, 0.001, 0.0, 0.0)"
43,"(1, 1, 1, 1, 1, 0)","(0.0005, 0.0017, 0.0, 0.0, 0.0, 0.0097)"
44,"(2, 1, 1, 1, 0, 0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0117)"
45,"(0, 0, 1, 1, 1, 1)","(0.0049, 0.0052, 0.0, 0.0, 0.0, 0.0)"
46,"(1, 1, 1, 0, 1, 1)","(0.0, 0.0012, 0.0, 0.006, 0.0, 0.0019)"
47,"(1, 2, 1, 0, 0, 0)","(0.0, 0.0, 0.0, 0.004, 0.004, 0.0)"
48,"(0, 1, 1, 1, 0, 1)","(0.0011, 0.0, 0.0, 0.0, 0.0067, 0.0)"
49,"(2, 1, 0, 1, 0, 0)","(0.0, 0.0, 0.0025, 0.0, 0.0053, 0.0)"
50,"(1, 0, 1, 1, 0, 1)","(0.0022, 0.0035, 0.0, 0.0, 0.0013, 0.0)"
51,"(0, 1, 1, 0, 1, 0)","(0.0038, 0.0012, 0.0, 0.002, 0.0, 0.0)"
52,"(0, 1, 0, 1, 1, 0)","(0.0011, 0.0, 0.0019, 0.0, 0.0, 0.0039)"
53,"(0, 1, 0, 1, 0, 1)","(0.0011, 0.0012, 0.0013, 0.0, 0.0027, 0.0)"
54,"(1, 0, 0, 1, 1, 0)","(0.0011, 0.0017, 0.0032, 0.0, 0.0, 0.0)"
55,"(2, 1, 0, 1, 1, 0)","(0.0, 0.0, 0.0019, 0.0, 0.0, 0.0039)"
56,"(1, 1, 2, 0, 0, 0)","(0.0, 0.0, 0.0, 0.003, 0.0027, 0.0)"
57,"(0, 1, 0, 0, 1, 1)","(0.0011, 0.0012, 0.0013, 0.001, 0.0, 0.0)"
58,"(0, 1, 1, 0, 0, 1)","(0.0016, 0.0006, 0.0, 0.001, 0.0013, 0.0)"
59,"(1, 0, 0, 1, 0, 1)","(0.0005, 0.0006, 0.0019, 0.0, 0.0013, 0.0)"
60,"(1, 0, 1, 1, 1, 0)","(0.0011, 0.0023, 0.0006, 0.0, 0.0, 0.0)"
