,feature,probabilities
0,"(0, 0, 0, 0, 0, 0)","(0.18814588, 0.1362872, 0.043574974, 0.08462536, 0.054400448, 0.06917182)"
1,"(0, 0, 0, 0, 0, 1)","(0.19752936, 0.13579993, 0.042776335, 0.08759358, 0.059302595, 0.036627665)"
2,"(0, 0, 0, 0, 1, 0)","(0.20430392, 0.14441323, 0.046748485, 0.06269491, 0.01702041, 0.059723977)"
3,"(0, 0, 0, 0, 1, 1)","(0.2109372, 0.14414436, 0.04383802, 0.06745269, 0.016281638, 0.03755257)"
4,"(0, 0, 0, 1, 0, 0)","(0.21103896, 0.14043269, 0.045689706, 0.009098776, 0.057525907, 0.059049875)"
5,"(0, 0, 0, 1, 0, 1)","(0.22258769, 0.14044546, 0.044919368, 0.009386727, 0.062799454, 0.031128509)"
6,"(0, 0, 0, 1, 1, 0)","(0.20783067, 0.14204386, 0.045932762, 0.0074588535, 0.015399321, 0.060016323)"
7,"(0, 0, 0, 1, 1, 1)","(0.2192526, 0.14205676, 0.04515852, 0.0076953084, 0.016880186, 0.03165336)"
8,"(0, 0, 1, 0, 0, 0)","(0.13460033, 0.14093919, 0.004923814, 0.12413836, 0.049732182, 0.055873953)"
9,"(0, 0, 1, 0, 0, 1)","(0.14120603, 0.14109352, 0.0051100384, 0.11415471, 0.053061023, 0.030579003)"
10,"(0, 0, 1, 0, 1, 0)","(0.14923684, 0.14761353, 0.004721846, 0.12116114, 0.017117009, 0.041423555)"
11,"(0, 0, 1, 0, 1, 1)","(0.152292, 0.14795521, 0.004439142, 0.12304925, 0.014743339, 0.02989499)"
12,"(0, 0, 1, 1, 0, 0)","(0.1615659, 0.14840679, 0.004507858, 0.018126665, 0.053319674, 0.04693669)"
13,"(0, 0, 1, 1, 0, 1)","(0.1699012, 0.14788362, 0.004421929, 0.018810393, 0.058130417, 0.024577562)"
14,"(0, 0, 1, 1, 1, 0)","(0.17505895, 0.1572031, 0.0047807866, 0.013341917, 0.01600311, 0.042600762)"
15,"(0, 0, 1, 1, 1, 1)","(0.18185869, 0.15683578, 0.0045361896, 0.014238399, 0.015945408, 0.025206145)"
16,"(0, 1, 0, 0, 0, 0)","(0.045300726, 0.02407492, 0.04719149, 0.111201845, 0.04711721, 0.053683903)"
17,"(0, 1, 0, 0, 0, 1)","(0.0469939, 0.024144545, 0.04702133, 0.105363056, 0.044979107, 0.03415489)"
18,"(0, 1, 0, 0, 1, 0)","(0.050788116, 0.025388626, 0.045549132, 0.10744718, 0.016179742, 0.03983171)"
