,feature,probabilities
0,"(0, 0, 0, 0, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
1,"(0, 0, 0, 0, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
2,"(0, 0, 0, 0, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
3,"(0, 0, 0, 0, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
4,"(0, 0, 0, 1, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
5,"(0, 0, 0, 1, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
6,"(0, 0, 0, 1, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
7,"(0, 0, 0, 1, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
8,"(0, 0, 1, 0, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
9,"(0, 0, 1, 0, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
10,"(0, 0, 1, 0, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
11,"(0, 0, 1, 0, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
12,"(0, 0, 1, 1, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
13,"(0, 0, 1, 1, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
14,"(0, 0, 1, 1, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
15,"(0, 0, 1, 1, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
16,"(0, 1, 0, 0, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
17,"(0, 1, 0, 0, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
18,"(0, 1, 0, 0, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
19,"(0, 1, 0, 0, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
20,"(0, 1, 0, 1, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
21,"(0, 1, 0, 1, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
22,"(0, 1, 0, 1, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
23,"(0, 1, 0, 1, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
24,"(0, 1, 1, 0, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
25,"(0, 1, 1, 0, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
26,"(0, 1, 1, 0, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
27,"(0, 1, 1, 0, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
28,"(0, 1, 1, 1, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
29,"(0, 1, 1, 1, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
30,"(0, 1, 1, 1, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
31,"(0, 1, 1, 1, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
