,Anza,Carrizo,Cholame,Coachella,Garlock,Mojave
0,41,11,7,31,41,20
1,39,19,8,34,4,19
2,38,13,11,30,69,19
3,45,15,2,37,130,21
4,39,8,13,31,102,21
5,42,13,24,31,54,17
6,44,13,16,31,22,19
7,39,16,10,31,45,21
8,44,15,8,26,62,17
9,19,12,16,31,60,22
10,22,16,19,34,46,17
11,42,17,16,30,97,22
12,42,16,17,30,41,19
13,40,17,16,33,68,17
14,41,17,17,29,104,12
15,35,16,17,32,71,7
16,44,16,16,33,53,10
17,38,17,16,34,83,15
18,39,15,17,22,9,17
19,24,17,15,26,38,17
20,45,18,17,28,73,18
21,30,17,18,31,9,18
22,39,15,17,27,50,20
23,43,17,15,35,51,20
24,42,19,17,29,108,20
25,39,18,19,28,28,21
26,43,14,18,32,80,20
27,46,17,14,30,61,23
28,46,12,12,24,27,20
29,45,7,4,27,26,19
30,44,15,12,29,54,19
31,43,17,23,30,99,20
32,44,17,17,34,60,21
33,44,13,17,24,36,20
34,40,14,16,26,14,20
35,44,17,18,24,57,19
36,44,18,10,33,38,19
37,30,15,7,32,37,19
38,46,16,10,34,47,16
39,43,14,8,30,77,19
40,43,3,6,31,42,17
41,42,13,12,34,87,21
42,43,17,18,34,117,20
43,43,16,17,27,102,19
44,41,15,17,30,115,16
45,46,15,16,30,119,20
46,41,16,17,31,116,20
47,43,19,13,29,94,20
48,42,17,16,30,22,16
49,46,18,19,27,51,16
50,42,17,17,15,72,18
51,16,18,18,17,58,18
52,25,16,17,26,65,17
53,31,17,18,29,76,17
54,37,16,16,26,53,17
55,33,16,17,31,48,17
56,45,17,16,30,41,18
57,38,16,16,16,19,19
58,40,16,17,14,69,17
59,42,18,16,34,100,17
60,40,18,16,33,131,18
61,44,17,18,29,115,22
62,40,17,18,29,67,21
63,42,17,17,34,9,18
64,40,17,17,32,47,19
65,43,18,17,33,75,20
66,44,19,17,33,74,17
67,41,17,18,29,38,21
68,47,17,19,30,64,22
69,41,16,17,35,38,18
70,41,15,17,27,32,16
71,45,14,16,31,79,20
72,38,12,15,28,64,20
73,40,10,18,30,66,11
74,43,15,19,32,85,3
75,40,14,10,25,1,11
76,41,15,4,31,53,17
77,38,16,14,32,71,20
78,44,17,15,24,97,21
79,41,18,16,29,92,18
80,42,13,17,26,74,18
81,44,6,18,31,52,20
82,40,11,20,31,58,18
83,39,16,19,19,29,18
84,46,17,18,15,30,18
85,45,11,19,31,60,18
86,40,4,16,31,54,19
87,41,11,16,19,62,18
88,44,16,18,22,105,18
89,40,18,14,19,128,21
90,44,14,20,16,76,16
91,30,20,17,25,52,17
92,45,17,17,33,78,20
93,46,17,13,32,16,19
94,38,13,20,28,34,11
95,45,20,13,29,78,6
96,39,13,15,36,58,9
97,38,15,15,32,73,5
98,31,15,13,26,81,11
99,47,10,18,28,33,17
100,44,2,18,26,23,17
101,40,15,20,27,75,18
102,42,13,17,33,114,17
103,41,14,17,36,118,16
104,37,13,17,24,79,20
105,41,17,17,31,49,13
106,42,17,17,34,86,16
107,46,17,15,30,11,18
108,38,17,18,25,46,19
109,37,17,16,24,74,18
110,27,15,17,31,76,19
111,40,18,17,29,55,19
112,38,16,17,20,78,17
113,40,17,18,16,17,20
114,40,17,17,11,40,18
115,42,17,16,21,83,19
116,39,18,17,26,76,21
117,42,17,16,18,16,19
118,46,16,16,14,27,17
119,40,17,18,19,54,21
120,43,16,19,28,38,22
121,42,16,18,28,83,19
122,48,18,19,32,30,19
123,38,19,19,28,99,17
124,44,18,17,35,43,17
125,40,19,15,27,32,17
126,41,19,11,31,86,17
127,45,17,19,35,47,18
128,40,15,11,31,70,17
129,41,4,9,34,62,17
130,43,9,18,35,56,17
131,40,8,13,32,72,17
132,40,7,16,29,14,17
133,42,11,16,33,104,19
134,42,16,16,32,63,14
135,38,11,16,27,75,17
136,41,1,13,29,130,18
137,39,11,19,31,51,19
138,38,0,17,34,75,18
139,42,15,17,24,68,21
140,40,16,17,31,39,21
141,44,16,17,31,73,20
142,30,16,18,32,31,20
143,43,13,17,28,30,20
144,43,19,17,33,80,20
145,38,17,17,29,75,15
146,31,17,17,34,53,20
147,38,17,17,18,90,20
148,43,17,16,8,125,19
149,27,18,15,31,69,19
150,22,17,15,29,41,18
151,17,17,17,28,120,16
152,35,17,16,30,86,23
153,37,17,16,29,44,21
154,46,17,18,26,63,18
155,34,16,17,28,50,17
156,38,15,16,30,82,22
157,40,15,17,34,53,19
158,46,17,16,28,83,18
159,40,16,18,32,38,18
160,43,16,18,32,78,19
161,40,18,17,33,81,18
162,39,17,18,22,19,19
163,43,16,16,32,41,19
164,46,17,18,25,61,19
165,36,16,18,31,59,21
166,39,14,16,28,57,20
167,42,12,17,26,73,20
168,33,18,17,32,55,21
169,42,17,18,30,113,21
170,28,9,17,19,93,20
171,38,8,16,18,69,22
172,40,18,18,25,17,17
173,42,14,15,32,47,20
174,43,11,17,32,74,19
175,48,4,18,35,14,21
176,40,11,18,23,33,19
177,38,17,18,26,90,17
178,40,17,19,31,61,18
179,46,18,18,29,58,17
180,44,17,19,35,74,19
181,43,16,15,28,36,21
182,45,18,16,29,31,19
183,43,15,14,32,53,20
184,42,17,17,30,59,20
185,46,18,16,29,10,20
186,44,18,16,34,64,19
187,41,18,17,29,52,22
188,23,19,17,27,60,20
189,29,18,18,29,56,21
190,42,19,18,35,96,21
191,48,15,17,28,78,21
192,41,16,17,30,25,20
193,44,14,16,35,32,19
194,41,17,13,32,60,18
195,22,16,18,32,28,19
196,23,4,15,28,85,20
197,42,11,16,30,40,20
198,38,17,17,35,34,13
199,42,17,18,25,82,18
200,41,18,17,32,124,18
201,39,18,16,31,56,18
202,39,17,14,30,68,18
203,41,17,15,33,58,19
204,42,16,17,32,45,20
205,37,13,17,29,28,14
206,39,18,15,29,79,19
207,40,15,17,34,80,20
208,45,16,19,31,46,18
209,47,17,18,32,109,18
210,42,18,11,30,66,18
211,28,17,6,32,49,20
212,18,16,10,34,72,12
213,20,14,6,26,54,15
214,39,15,10,34,61,8
215,41,17,15,28,53,10
216,41,17,12,36,107,18
217,42,11,17,31,96,17
218,45,3,17,33,15,10
219,24,10,15,26,41,8
220,27,15,16,32,60,11
221,47,10,18,21,65,21
222,41,6,18,22,30,20
223,40,11,11,31,31,18
224,46,4,6,28,81,18
225,39,6,9,31,109,18
226,42,17,9,34,71,19
227,43,17,19,25,44,19
228,39,15,23,31,57,19
229,45,12,15,31,62,21
230,43,2,16,30,77,18
231,29,14,18,28,17,22
232,38,17,19,32,95,23
233,29,15,17,25,66,20
234,10,16,17,31,45,21
235,38,11,20,31,63,20
236,38,19,16,30,45,21
237,43,17,12,29,58,16
238,44,16,5,36,10,18
239,42,15,12,27,60,19
240,45,13,18,28,55,19
241,44,9,21,32,110,20
242,44,13,16,28,89,16
243,42,15,19,17,77,14
244,41,7,18,24,48,18
245,42,8,17,17,99,19
246,43,9,18,16,15,20
247,38,19,16,30,83,14
248,41,18,17,31,82,5
249,39,16,15,34,40,12
250,40,19,15,36,85,20
251,45,9,18,31,33,19
252,44,10,18,31,39,20
253,35,18,15,35,57,22
254,34,18,17,33,61,21
255,42,18,16,32,48,19
256,41,20,18,32,63,17
257,39,0,16,29,54,18
258,32,16,13,33,79,18
259,40,19,12,31,4,17
260,30,18,5,36,54,17
261,35,17,13,32,69,20
262,34,18,17,27,83,18
263,40,16,19,33,31,18
264,42,17,12,31,26,17
265,42,15,15,31,69,20
266,38,15,19,27,71,16
267,39,18,16,30,52,18
268,45,18,17,20,75,18
269,42,15,10,15,62,21
270,49,17,10,27,69,19
271,44,16,20,32,36,19
272,38,18,16,30,21,20
273,39,16,18,18,80,21
274,43,13,17,18,77,21
275,40,18,20,25,32,21
276,31,13,19,33,27,12
277,41,17,17,34,70,5
278,34,19,19,30,68,12
279,41,15,17,29,63,16
280,46,12,19,29,19,16
281,44,2,19,32,40,18
282,38,15,23,27,74,19
283,32,0,16,31,131,18
284,23,9,17,33,62,19
285,29,19,15,24,62,18
286,44,15,17,30,116,18
287,40,14,19,31,64,18
288,38,16,17,35,46,17
289,46,9,18,30,55,19
290,31,6,18,29,64,21
291,44,10,17,29,73,19
292,40,17,17,32,49,17
293,19,17,20,32,62,16
294,23,10,18,37,36,18
295,39,7,18,35,36,20
296,42,11,17,31,54,19
297,34,6,17,26,86,18
298,44,10,19,34,7,19
299,45,8,18,34,51,21
300,41,10,18,26,49,20
301,40,5,16,28,77,19
302,18,11,17,29,52,18
303,22,13,18,33,68,16
304,38,11,16,29,74,18
305,39,13,17,20,62,20
306,42,6,15,16,57,20
307,22,16,18,34,73,21
308,28,16,17,30,40,21
309,46,17,19,29,66,21
310,43,15,18,33,58,21
311,43,17,18,27,128,20
312,41,19,18,33,73,21
313,38,17,17,33,40,19
314,41,18,16,33,93,17
